769574,  83,01103,     ,83-1103,Maple St,239,Town of Honaker,083,Russell County,0.08,83-706 Fairmont St,83-1105 Dogwood St,290,R,,,,,,,X,,,,,,03/02/2006,,,,,,,,,,,,,,,
769575,  83,01103,     ,83-1103,Maple St,239,Town of Honaker,083,Russell County,0.08,83-1105 Dogwood St,83-1104,180,R,,,,,,,X,,,,,,03/02/2006,,,,,,,,,,,,,,,
769576,  83,01103,     ,83-1103,Maple St,239,Town of Honaker,083,Russell County,0.04,83-1104,83-637,170,R,,,,,,,X,,,,,,03/02/2005,,,,,,,,,,,,,,,
769577,  83,01104,     ,83-1104, ,239,Town of Honaker,083,Russell County,0.06,83-1103 Maple St,83-1109 Brown Dr,120,R,,,,,,,X,,,,,,03/02/2006,,,,,,,,,,,,,,,
769578,  83,01104,     ,83-1104, ,239,Town of Honaker,083,Russell County,0.16,83-1109 Brown Dr,83-1105,80,R,,,,,,,X,,,,,,03/02/2006,,,,,,,,,,,,,,,
769579,  83,01105,     ,83-1105,Dogwood St,239,Town of Honaker,083,Russell County,0.05,83-1103 Maple St,83-1109 Brown Dr,110,R,,,,,,,X,,,,,,1986,,,,,,,,,,,,,,,
769580,  83,01105,     ,83-1105, ,239,Town of Honaker,083,Russell County,0.10,83-1109 Brown Dr,83-1104,70,R,,,,,,,X,,,,,,03/02/2006,,,,,,,,,,,,,,,
769581,  83,01106,     ,83-1106,Mountain View Circle,239,Town of Honaker,083,Russell County,0.20,SR 80 SOUTH,NCL Honaker,250,R,,,,,,,X,,,,,,03/02/2006,,,,,,,,,,,,,,,
769584,  83,01108,     ,83-1108,Maplewood,239,Town of Honaker,083,Russell County,0.15,Dead End,83-637 Putnam Rd,130,R,,,,,,,X,,,,,,03/02/2006,,,,,,,,,,,,,,,
769585,  83,01109,     ,83-1109,Brown Dr,239,Town of Honaker,083,Russell County,0.09,83-1105 Dogwood St,83-1104,40,R,,,,,,,X,,,,,,1986,,,,,,,,,,,,,,,
769617,  83,09377,     ,83-9377,Honaker High School,239,Town of Honaker,083,Russell County,0.10,83-637 Putnam Rd,Honaker High Sch,530,R,,,,,,,X,,,,,,1992,,,,,,,,,,,,,,,
- - - - - - - - - - - - - - - - - - - - - - - - - - - - End of Report - - - - - - - - - - - - - - - - - - - - - - - - - - - - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
