653209,  SR,00032,     ,"US 17, US 258, VA 32",Mercury Blvd,121,City of Newport News,121,City of Newport News,0.56,US 60 Warwick Blvd,"US 258, SR 143 Jefferson Ave",37000,G,97%,0%,0%,1%,1%,0%,F,0.0933,F,0.5729,39000,G,2008,,,,,,,,,,,,,,,
653211,  US,00060,     ,US 60,Warwick Blvd,121,City of Newport News,121,City of Newport News,1.70,James City County Line,Yorktown Rd,12000,G,92%,1%,2%,1%,4%,0%,F,0.0895,F,0.5602,13000,G,2008,,,,,,,,,,,,,,,
653212,  US,00060,     ,US 60,Warwick Blvd,121,City of Newport News,121,City of Newport News,1.61,Yorktown Rd,SR 105 Ft Eustis Blvd,17000,G,94%,1%,2%,1%,2%,0%,C,0.0888,F,0.5567,18000,G,2008,,,,,,,,,,,,,,,
653213,  US,00060,     ,US 60,Warwick Blvd,121,City of Newport News,121,City of Newport News,1.68,SR 105 Ft Eustis Blvd,Snidow Blvd,32000,G,94%,1%,2%,1%,2%,0%,F,0.0780,F,0.6093,34000,G,2008,,,,,,,,,,,,,,,
653214,  US,00060,     ,US 60,Warwick Blvd,121,City of Newport News,121,City of Newport News,1.66,Snidow Blvd,Denbigh Blvd,44000,G,97%,1%,1%,0%,0%,0%,C,0.0771,F,0.5121,48000,G,2008,,,,,,,,,,,,,,,
653215,  US,00060,     ,US 60,Warwick Blvd,121,City of Newport News,121,City of Newport News,0.78,Denbigh Blvd,Bland Blvd,38000,G,97%,1%,1%,0%,0%,0%,C,0.0782,F,0.5157,42000,G,2008,,,,,,,,,,,,,,,
653216,  US,00060,     ,US 60,Warwick Blvd,121,City of Newport News,121,City of Newport News,1.45,Bland Blvd,Oyster Point Rd,34000,G,97%,1%,1%,0%,0%,0%,F,0.0844,F,0.5279,37000,G,2008,,,,,,,,,,,,,,,
653218,  US,00060,     ,US 60,Warwick Blvd,121,City of Newport News,121,City of Newport News,2.39,Oyster Point Rd,Deep Creek Road,30000,G,98%,0%,1%,0%,0%,0%,C,0.0890,F,0.5274,33000,G,2008,,,,,,,,,,,,,,,
653219,  US,00060,     ,US 60,Warwick Blvd,121,City of Newport News,121,City of Newport News,0.89,Deep Creek Road,J Clyde Morris Blvd,44000,G,98%,0%,1%,0%,0%,0%,F,,,,48000,G,2008,,,,,,,,,,,,,,,
653220,  US,00060,     ,US 60,Warwick Blvd,121,City of Newport News,121,City of Newport News,1.07,J Clyde Morris Blvd,Harpersville Rd,25000,G,98%,1%,1%,0%,0%,0%,C,0.0970,F,0.5281,28000,G,2008,,,,,,,,,,,,,,,
653221,  US,00060,     ,US 60,Warwick Blvd,121,City of Newport News,121,City of Newport News,1.49,Harpersville Rd,Main Street,26000,G,98%,1%,1%,0%,0%,0%,F,0.0914,F,0.6147,28000,G,2008,,,,,,,,,,,,,,,
653223,  US,00060,     ,US 60,Warwick Blvd,121,City of Newport News,121,City of Newport News,1.08,Main Street,Mercury Blvd,23000,G,98%,1%,1%,0%,0%,0%,C,0.1013,F,0.6857,25000,G,2008,,,,,,,,,,,,,,,
653225,  US,00060,     ,US 60,Warwick Blvd,121,City of Newport News,121,City of Newport News,0.61,Mercury Blvd,Huntington Ave,24000,G,98%,1%,1%,0%,0%,0%,C,0.1196,F,0.8642,26000,G,2008,,,,,,,,,,,,,,,
653233,  US,00060,     ,US 60,Huntington Ave,121,City of Newport News,121,City of Newport News,1.24,Warwick Blvd,50th St,10000,G,98%,1%,1%,0%,0%,0%,F,0.1793,F,1.0000,11000,G,2008,,22000,G,98%,1%,1%,0%,0%,0%,F,0.1240,F,0.8844,24000,G
653286,  US,00060,     ,US 60,Huntington Ave,121,City of Newport News,121,City of Newport News,0.55,50th St,39th St,11000,G,98%,0%,1%,0%,0%,0%,C,0.1689,F,1.0000,12000,G,2008,,20000,G,98%,0%,1%,0%,0%,0%,F,0.1231,F,0.0000,22000,G
653287,  US,00060,     ,US 60,Huntington Ave,121,City of Newport News,121,City of Newport News,0.50,39th St,29th St,10000,G,98%,0%,1%,0%,0%,0%,F,0.1665,F,1.0000,11000,G,2008,,14000,G,98%,0%,1%,0%,0%,0%,F,0.1660,F,0.7617,15000,G
653249,  US,00060,     ,US 60,Huntington Ave,121,City of Newport News,121,City of Newport News,0.28,29th St,25th St,5300,G,98%,0%,1%,0%,0%,0%,F,0.1560,F,1.0000,5700,G,2008,,8600,G,98%,0%,1%,0%,0%,0%,F,0.1593,F,0.6010,9300,G
653299,  US,00060,     ,US 60,25th St,121,City of Newport News,121,City of Newport News,0.42,Huntington Ave,Jefferson Ave,1800,G,92%,5%,2%,0%,0%,0%,C,0.1154,F,1.0000,1900,G,2008,,,,,,,,,,,,,,,
653399,  US,00060,     ,US 60,25th St,121,City of Newport News,121,City of Newport News,0.82,Jefferson Ave,Roanoke Ave,2800,G,92%,5%,2%,0%,0%,0%,F,0.0904,F,1.0000,3000,G,2008,,5500,G,94%,3%,2%,0%,0%,0%,F,0.0789,F,0.0000,6000,G
653381,  US,00060,     ,US 60,25th St,121,City of Newport News,121,City of Newport News,0.51,Roanoke Ave,26th St,3200,G,92%,5%,2%,0%,0%,0%,F,0.0870,F,0.0000,3400,G,2008,,4900,G,93%,4%,2%,0%,0%,0%,F,,,,5300,G
653265,  US,00060,     ,US 60,25th St,121,City of Newport News,121,City of Newport News,0.53,26th St,WCL Hampton,6000,G,92%,5%,2%,0%,0%,0%,F,0.0828,F,0.6630,6500,G,2008,,,,,,,,,,,,,,,
653226, 3US,00060,P    ,US 60 Par,Warwick Blvd,121,City of Newport News,121,City of Newport News,1.21,US 60,50Th St,12000,G,98%,1%,1%,0%,0%,0%,C,0.2003,F,1.0000,13000,G,2008,,22000,G,98%,1%,1%,0%,0%,0%,F,0.1240,F,0.8844,24000,G
653340, 3US,00060,P    ,US 60 Par,Warwick  Blvd,121,City of Newport News,121,City of Newport News,0.59,50Th St,38Th St,9600,G,98%,0%,1%,0%,0%,0%,F,0.1636,F,0.0000,10000,G,2008,,20000,G,98%,0%,1%,0%,0%,0%,F,0.1231,F,0.0000,22000,G
653227, 3US,00060,P    ,US 60 Par,Warwick Blvd,121,City of Newport News,121,City of Newport News,0.77,38Th St,25Th St,3300,G,98%,0%,1%,0%,0%,0%,C,0.1921,F,1.0000,3600,G,2008,,14000,G,98%,0%,1%,0%,0%,0%,F,0.1660,F,0.7617,15000,G
653230, 4US,00060,P    ,US 60 Par,26th St,121,City of Newport News,121,City of Newport News,1.39,US 60,Chestnut Ave,2700,G,96%,2%,2%,0%,0%,0%,C,0.0681,F,0.0000,2900,G,2008,,5500,G,94%,3%,2%,0%,0%,0%,F,0.0789,F,0.0000,6000,G
653229, 4US,00060,P    ,US 60 Par,26th St,121,City of Newport News,121,City of Newport News,0.49,Chestnut Ave,25th St,1700,G,95%,2%,2%,0%,0%,0%,C,0.0774,F,1.0000,1900,G,2008,,4900,G,93%,4%,2%,0%,0%,0%,F,,,,5300,G
150320,  IS,00064,E    ,I-64 EB, ,121,City of Newport News,099,York County,1.32,WCL Newport News,SR 238 Yorktown Rd,39000,G,95%,0%,1%,1%,3%,0%,F,0.0742,F,1.0000,40000,G,2008,,79000,G,95%,0%,1%,1%,3%,0%,F,,,,80000,G
050127,  IS,00064,E    ,I-64 EB, ,121,City of Newport News,099,York County,2.04,SR 238 Yorktown Rd,SR 105 Ft Eustis Blvd,41000,G,95%,0%,1%,1%,3%,0%,F,0.0723,F,1.0000,42000,G,2008,,82000,G,95%,0%,1%,1%,3%,0%,F,0.0690,F,0.5188,84000,G
150040,  IS,00064,E    ,I-64 EB, ,121,City of Newport News,099,York County,5.03,SR 105 Ft Eustis Blvd,SR 143 Jefferson Ave,44000,G,95%,0%,1%,1%,3%,0%,F,0.0713,F,1.0000,46000,G,2008,,91000,G,95%,0%,1%,1%,3%,0%,F,0.0690,F,0.5185,93000,G
050393,  IS,00064,E    ,I-64 EB, ,121,City of Newport News,099,York County,1.41,SR 143 Jefferson Ave,SR 171 Oyster Point Rd,55000,G,95%,0%,1%,1%,3%,0%,F,0.0732,F,1.0000,56000,G,2008,,112000,G,95%,0%,1%,1%,3%,0%,F,,,,115000,G
050163,  IS,00064,E    ,I-64 EB, ,121,City of Newport News,099,York County,1.81,SR 171 Oyster Point Rd,US 17 J Clyde Morris Blvd,67000,A,95%,0%,1%,1%,3%,0%,C,0.0941,A,1.0000,69000,A,2008,,132000,A,95%,0%,1%,1%,3%,0%,C,0.0880,A,0.0000,135000,A
050159,  IS,00064,E    ,I-64 EB, ,121,City of Newport News,099,York County,1.06,US 17 J Clyde Morris Blvd,WCL Hampton,69000,G,95%,0%,1%,1%,3%,0%,F,0.0744,F,1.0000,71000,G,2008,,143000,G,95%,0%,1%,1%,3%,0%,F,,,,146000,G
150307,  IS,00064,W    ,I-64 WB, ,121,City of Newport News,099,York County,0.06,WCL Newport News,SR 143 Jefferson Ave,39000,G,95%,0%,1%,1%,3%,0%,F,0.0745,F,1.0000,40000,G,2008,,76000,G,95%,0%,1%,1%,3%,0%,F,0.0000,?,0.0000,78000,G
150047,  IS,00064,W    ,I-64 WB, ,121,City of Newport News,099,York County,1.28,SR 143 Jefferson Ave,SR 238 Yorktown Rd,40000,G,95%,0%,1%,1%,3%,0%,F,0.0773,F,1.0000,41000,G,2008,,79000,G,95%,0%,1%,1%,3%,0%,F,,,,80000,G
150048,  IS,00064,W    ,I-64 WB, ,121,City of Newport News,099,York County,2.32,SR 238 Yorktown Rd,SR 105 Fort Eustis Blvd,42000,G,95%,0%,1%,1%,3%,0%,F,0.0698,F,1.0000,43000,G,2008,,82000,G,95%,0%,1%,1%,3%,0%,F,0.0690,F,0.5188,84000,G
150049,  IS,00064,W    ,I-64 WB, ,121,City of Newport News,099,York County,5.22,SR 105 Fort Eustis Blvd,SR 143 Jefferson Ave,46000,G,95%,0%,1%,1%,3%,0%,F,0.0709,F,1.0000,47000,G,2008,,91000,G,95%,0%,1%,1%,3%,0%,F,0.0690,F,0.5185,93000,G
150050,  IS,00064,W    ,I-64 WB, ,121,City of Newport News,099,York County,1.55,SR 143 Jefferson Ave,SR 171 Oyster Point Rd,57000,G,95%,0%,1%,1%,3%,0%,F,0.0755,F,1.0000,58000,G,2008,,112000,G,95%,0%,1%,1%,3%,0%,F,,,,115000,G
150051,  IS,00064,W    ,I-64 WB, ,121,City of Newport News,099,York County,1.50,SR 171 Oyster Point Rd,US 17 J Clyde Morris Blvd,65000,A,95%,0%,1%,1%,3%,0%,C,0.0977,A,1.0000,67000,A,2008,,132000,A,95%,0%,1%,1%,3%,0%,C,0.0880,A,0.0000,135000,A
150052,  IS,00064,W    ,I-64 WB, ,121,City of Newport News,099,York County,0.78,US 17 J Clyde Morris Blvd,WCL Hampton,74000,G,95%,0%,1%,1%,3%,0%,F,0.0834,F,1.0000,75000,G,2008,,143000,G,95%,0%,1%,1%,3%,0%,F,,,,146000,G
653251,  SR,00105,     ,VA 105,Ft Eustis Blvd,121,City of Newport News,121,City of Newport News,0.04,Ft Eustis,US 60,21000,G,95%,1%,1%,1%,2%,0%,F,0.0997,F,0.8039,22000,G,2008,,,,,,,,,,,,,,,
653240,  SR,00105,     ,VA 105,Ft Eustis Blvd,121,City of Newport News,121,City of Newport News,1.01,US 60,I-64,36000,G,95%,1%,1%,1%,2%,0%,C,0.0879,F,0.5982,39000,G,2008,,,,,,,,,,,,,,,
653382,  SR,00105,     ,VA 105,Ft Eustis Blvd,121,City of Newport News,121,City of Newport News,0.23,I-64,SR 143 Jefferson Ave,22000,G,95%,1%,1%,1%,2%,0%,F,0.0900,F,0.5636,24000,G,2008,,,,,,,,,,,,,,,
150107,  SR,00105,     ,VA 105,Ft Eustis Blvd,121,City of Newport News,121,City of Newport News,1.26,SR 143 Jefferson Ave,NCL Newport News,15000,A,95%,1%,1%,1%,2%,0%,C,0.1183,A,0.6063,17000,A,2008,,,,,,,,,,,,,,,
653417,  SR,00143,     ,VA 143,27th St,121,City of Newport News,121,City of Newport News,0.35,WCL Hampton,"SR 143 Par, 28th St",7000,G,98%,1%,1%,0%,0%,0%,F,0.0869,F,0.5158,7500,G,2008,,,,,,,,,,,,,,,
653420,  SR,00143,     ,VA 143,28th St,121,City of Newport News,121,City of Newport News,0.48,"SR 143 Par, 27th St",Chestnut Ave,2300,G,98%,1%,1%,0%,0%,0%,F,0.0829,F,0.0000,2500,G,2008,,4900,G,98%,1%,1%,0%,0%,0%,F,,,,5300,G
653364,  SR,00143,     ,VA 143,28th St,121,City of Newport News,121,City of Newport News,0.90,Chestnut Ave,"SR 143 Par, 27th St",2600,G,98%,1%,1%,0%,0%,0%,C,0.0761,F,0.0000,2800,G,2008,,4900,G,98%,1%,1%,0%,0%,0%,C,,,,5300,G
653248,  SR,00143,     ,VA 143,Jefferson Ave,121,City of Newport News,121,City of Newport News,0.53,"SR 143 Par, 27th St",I-664,13000,G,97%,0%,1%,1%,1%,0%,C,0.0743,F,0.5114,14000,G,2008,,,,,,,,,,,,,,,
653253,  SR,00143,     ,VA 143,Jefferson Ave,121,City of Newport News,121,City of Newport News,0.41,I-664,50th St,24000,G,98%,0%,1%,0%,0%,0%,F,0.0736,F,0.5442,26000,G,2008,,,,,,,,,,,,,,,
653362,  SR,00143,     ,VA 143,Jefferson Ave,121,City of Newport News,121,City of Newport News,1.89,50th St,US 258 Mercury Blvd,32000,G,98%,0%,1%,0%,0%,0%,F,0.0773,F,0.5604,33000,G,2008,,,,,,,,,,,,,,,
653208,  SR,00143,     ,"US 17, VA 143",Jefferson Ave,121,City of Newport News,121,City of Newport News,1.31,Mercury Blvd,SR 152 Main St,42000,G,98%,1%,1%,0%,0%,0%,F,0.0814,F,0.5917,46000,G,2008,,,,,,,,,,,,,,,
150101,  SR,00143,     ,"US 17, VA 143",Jefferson Ave,121,City of Newport News,121,City of Newport News,1.69,SR 152 Main St,SR306 Harpersville Rd,43000,A,98%,1%,1%,0%,0%,0%,C,0.0949,A,0.0000,47000,A,2008,,,,,,,,,,,,,,,
653205,  SR,00143,     ,"US 17, VA 143",Jefferson Ave,121,City of Newport News,121,City of Newport News,1.12,SR306 Harpersville Rd,J Clyde Morris Blvd,50000,G,98%,1%,1%,0%,0%,0%,F,,,,55000,G,2008,,,,,,,,,,,,,,,
653246,  SR,00143,     ,VA 143,Jefferson Ave,121,City of Newport News,121,City of Newport News,1.11,US 17;  J Clyde Morris Blvd,Middle Ground Blvd,54000,G,98%,1%,1%,1%,0%,0%,C,0.0780,F,0.5060,56000,G,2008,,,,,,,,,,,,,,,
653384,  SR,00143,     ,VA 143,Jefferson Ave,121,City of Newport News,121,City of Newport News,1.29,Middle Ground Blvd,SR 171 Oyster Point Rd,60000,G,98%,0%,1%,0%,0%,0%,F,0.0795,F,0.5894,63000,G,2008,,,,,,,,,,,,,,,
653245,  SR,00143,     ,VA 143,Jefferson Ave,121,City of Newport News,121,City of Newport News,0.73,SR 171 Oyster Point Rd,I-64,58000,G,98%,0%,1%,0%,0%,0%,F,0.0780,F,0.5372,60000,G,2008,,,,,,,,,,,,,,,
653244,  SR,00143,     ,VA 143,Jefferson Ave,121,City of Newport News,121,City of Newport News,1.13,I-64,Bland Blvd,88000,G,98%,0%,1%,0%,1%,0%,C,0.0783,F,0.5368,92000,G,2008,,,,,,,,,,,,,,,
653207,  SR,00143,     ,VA 143,Jefferson Ave,121,City of Newport News,121,City of Newport News,0.86,Bland Blvd,SR 173 Denbigh Blvd,54000,G,98%,0%,1%,0%,0%,0%,F,0.0761,F,0.6339,56000,G,2008,,,,,,,,,,,,,,,
150108,  SR,00143,     ,VA 143,Jefferson Ave,121,City of Newport News,121,City of Newport News,0.84,SR 173 Denbigh Blvd,Richneck Rd,36000,G,98%,0%,1%,0%,0%,0%,C,0.1023,A,0.5058,36000,G,2008,,,,,,,,,,,,,,,
653311,  SR,00143,     ,VA 143,Jefferson Ave,121,City of Newport News,121,City of Newport News,2.19,Richneck Rd,SR 105 Ft Eustis Blvd,30000,G,98%,0%,1%,0%,0%,0%,F,0.0910,F,0.6493,32000,G,2008,,,,,,,,,,,,,,,
653243,  SR,00143,     ,VA 143,Jefferson Ave,121,City of Newport News,121,City of Newport News,2.55,SR 105 Ft Eustis Blvd,Yorktown Rd,13000,G,97%,0%,1%,1%,1%,0%,C,0.1405,F,0.7301,14000,G,2008,,,,,,,,,,,,,,,
653241,  SR,00143,     ,VA 143,Jefferson Ave,121,City of Newport News,121,City of Newport News,1.12,Yorktown Rd,James City County Line,16000,G,97%,0%,1%,1%,1%,0%,F,0.1190,F,0.7157,18000,G,2008,,,,,,,,,,,,,,,
653347, 1SR,00143,P    ,VA 143 Par,27th St,121,City of Newport News,121,City of Newport News,0.48,SR 143; 28th St,Chestnut Ave,2600,G,98%,1%,1%,0%,0%,0%,C,0.0844,F,0.5820,2800,G,2008,,4900,G,98%,1%,1%,0%,0%,0%,F,,,,5300,G
653250, 1SR,00143,P    ,VA 143 Par,27th St,121,City of Newport News,121,City of Newport News,0.90,Chestnut Ave,Jefferson Ave,2300,G,98%,1%,1%,0%,0%,0%,C,0.0860,F,0.5702,2500,G,2008,,4900,G,98%,1%,1%,0%,0%,0%,C,,,,5300,G
653254,  SR,00152,     ,VA 152,Main St,121,City of Newport News,121,City of Newport News,0.41,US 60 Warwick Blvd,"US 17, SR 143 Jefferson Ave",12000,G,98%,0%,1%,0%,0%,0%,C,0.0896,F,0.5247,13000,G,2008,,,,,,,,,,,,,,,
653333,  SR,00152,     ,VA 152,Main St,121,City of Newport News,121,City of Newport News,0.56,"US 17, SR 143 Jefferson Ave",WCL Hampton,9700,G,99%,0%,1%,0%,0%,0%,C,0.0994,F,0.5437,11000,G,2008,,,,,,,,,,,,,,,
653319,  SR,00171,     ,VA 171,Oyster Point Rd,121,City of Newport News,121,City of Newport News,0.70,SR 143 Jefferson Ave,121-12 Canon Blvd,46000,G,98%,0%,1%,1%,0%,0%,C,0.0839,F,0.5042,50000,G,2008,,,,,,,,,,,,,,,
653397,  SR,00171,     ,VA 171,Oyster Point Rd,121,City of Newport News,121,City of Newport News,0.17,121-12 Canon Blvd,I-64,50000,G,98%,0%,1%,1%,0%,0%,F,0.0831,F,0.5802,54000,G,2008,,,,,,,,,,,,,,,
653400,  SR,00171,     ,VA 171,Victory Blvd,121,City of Newport News,121,City of Newport News,0.74,I-64,York County Line,50000,G,98%,0%,1%,0%,1%,0%,F,0.0849,F,0.6085,54000,G,2008,,,,,,,,,,,,,,,
653385,  SR,00173,     ,VA 173,Denbigh Blvd,121,City of Newport News,121,City of Newport News,0.53,Moyer Drive,Catalina Drive,3800,G,99%,0%,1%,0%,0%,0%,C,0.0886,F,0.6378,4200,G,2008,,,,,,,,,,,,,,,
653260,  SR,00173,     ,VA 173,Denbigh Blvd,121,City of Newport News,121,City of Newport News,0.74,Catalina Dr,Lucas Creek Rd,9300,G,99%,0%,1%,0%,0%,0%,F,0.0867,F,0.6109,10000,G,2008,,,,,,,,,,,,,,,
653314,  SR,00173,     ,VA 173,Denbigh Blvd,121,City of Newport News,121,City of Newport News,0.55,Lucas Creek Rd,US 60 Warwick Blvd,17000,G,99%,0%,1%,0%,0%,0%,F,0.0855,F,0.6079,19000,G,2008,,,,,,,,,,,,,,,
653261,  SR,00173,     ,VA 173,Denbigh Blvd,121,City of Newport News,121,City of Newport News,1.14,US 60 Warwick Blvd,SR 143 Jefferson Ave,29000,G,98%,1%,1%,0%,0%,0%,C,0.0852,F,0.5766,31000,G,2008,,,,,,,,,,,,,,,
653262,  SR,00173,     ,VA 173,Denbigh Blvd,121,City of Newport News,121,City of Newport News,1.32,SR 143 Jefferson Ave,York County Line,27000,G,99%,0%,0%,0%,0%,0%,F,0.0919,F,0.5802,29000,G,2008,,,,,,,,,,,,,,,
653263,  SR,00238,     ,VA 238,Yorktown Rd,121,City of Newport News,121,City of Newport News,0.94,US 60 Warwick Blvd,I-64,5600,G,93%,1%,1%,3%,2%,0%,C,0.0887,F,0.5038,6100,G,2008,,,,,,,,,,,,,,,
653386,  SR,00238,     ,VA 238,Yorktown Rd,121,City of Newport News,121,City of Newport News,0.18,I-64,SR 143 Jefferson Ave,9200,G,97%,1%,1%,1%,1%,0%,F,0.0864,F,0.5052,10000,G,2008,,,,,,,,,,,,,,,
653264,  SR,00238,     ,VA 238,Yorktown Rd,121,City of Newport News,121,City of Newport News,1.06,SR 143 Jefferson Ave,York County Line,9400,G,97%,1%,1%,1%,1%,0%,F,0.0947,F,0.5761,11000,G,2008,,,,,,,,,,,,,,,
653210,  US,00258,     ,"US 17, US 258, VA 32",Mercury Blvd,121,City of Newport News,121,City of Newport News,0.22,Isle of Wight County Line,US 60 Warwick Blvd,28000,G,97%,0%,0%,1%,1%,0%,F,0.0914,F,0.7007,30000,G,2008,,,,,,,,,,,,,,,
653209,  US,00258,     ,"US 17, US 258, VA 32",Mercury Blvd,121,City of Newport News,121,City of Newport News,0.56,US 60 Warwick Blvd,Jefferson Ave,37000,G,97%,0%,0%,1%,1%,0%,F,0.0933,F,0.5729,39000,G,2008,,,,,,,,,,,,,,,
653232,  US,00258,     ,US 258,Mercury Blvd,121,City of Newport News,121,City of Newport News,0.29,Jefferson Ave,WCL Hampton,40000,G,99%,0%,0%,0%,1%,0%,F,0.0860,F,0.5566,40000,G,2008,,,,,,,,,,,,,,,
653329,  SR,00306,     ,VA 306,Harpersville Rd,121,City of Newport News,121,City of Newport News,0.88,US 60 Warwick Blvd,"US 17, SR 143 Jefferson Ave",10000,G,99%,0%,1%,0%,0%,0%,C,0.0947,F,0.5743,11000,G,2008,,,,,,,,,,,,,,,
653267,  SR,00312,     ,VA 312,J Clyde Morris Blvd,121,City of Newport News,121,City of Newport News,1.11,US 60 Warwick Blvd,US 17;  SR143,30000,G,98%,0%,1%,0%,0%,0%,C,0.0828,F,0.5113,32000,G,2008,,,,,,,,,,,,,,,
653270,  SR,00351,     ,VA 351,39th St,121,City of Newport News,121,City of Newport News,0.64,US 60 Huntington Ave,Marshall Ave,7100,G,97%,1%,1%,1%,0%,0%,C,0.1207,F,0.7681,7800,G,2008,,,,,,,,,,,,,,,
653269,  SR,00351,     ,VA 351,39th St,121,City of Newport News,121,City of Newport News,0.87,Marshall Ave,WCL Hampton,7100,G,97%,1%,1%,1%,0%,0%,C,0.1207,F,0.7681,7800,G,2008,,,,,,,,,,,,,,,
050139,  IS,00664,E    ,I-664 EB,Hampton Roads Beltway,121,City of Newport News,099,York County,0.12,SCL Hampton,Roanoke Ave; Chestnut St,35000,G,94%,0%,1%,1%,4%,0%,F,,,,33000,G,2008,East I-664 is signed as South I-664,70000,G,94%,0%,1%,1%,4%,0%,F,,,,69000,G
050413,  IS,00664,E    ,I-664 EB,Hampton Roads Beltway,121,City of Newport News,099,York County,1.02,Roanoke Ave; Chestnut St,SR 143 Jefferson Ave; 35th St,33000,G,94%,0%,1%,1%,4%,0%,F,,,,27000,G,2008,East I-664 is signed as South I-664,65000,G,94%,0%,1%,1%,4%,0%,F,,,,56000,G
050595,  IS,00664,E    ,I-664 EB,Hampton Roads Beltway,121,City of Newport News,099,York County,1.64,SR 143 Jefferson Ave; 35th St,Terminal Ave,20000,G,94%,0%,1%,1%,4%,0%,F,,,,25000,G,2008,East I-664 is signed as South I-664,45000,G,94%,0%,1%,1%,4%,0%,F,,,,51000,G
150324,  IS,00664,E    ,I-664 EB,Monitor Merrimac Memorial Bridge Tunnel,121,City of Newport News,099,York County,2.84,Terminal Ave,WCL Suffolk,27000,A,94%,0%,1%,1%,4%,0%,F,0.1109,A,1.0000,28000,A,2008,East I-664 is signed as South I-664,55000,A,94%,0%,1%,1%,4%,0%,F,,,,58000,A
