080454,  SR,00290,     ,"Bus VA 42, VA 290",Main St,206,Town of Dayton,082,Rockingham County,0.07,S SR 42 BUS,N SR 42 BUS,4200,G,99%,0%,1%,0%,0%,0%,F,0.0948,F,0.5067,4400,G,2008,,,,,,,,,,,,,,,
080474,  SR,00290,     ,VA 290,College St,206,Town of Dayton,082,Rockingham County,0.33,N SR 42 Bus,NCL Dayton,2500,G,96%,2%,1%,0%,1%,0%,C,0.1136,F,0.6577,2600,G,2008,,,,,,,,,,,,,,,
402769,  82,00732,     ,82-732,Bowman Rd,206,Town of Dayton,082,Rockingham County,0.06,82-1207 High St,SR 290 Gap,2400,G,95%,0%,1%,1%,3%,0%,F,0.1246,F,0.7470,2500,G,2008,,,,,,,,,,,,,,,
768832,  82,01201,     ,82-1201,Turner St,206,Town of Dayton,082,Rockingham County,0.08,82-1203 West View St,82-1204 Ashby St,30,R,,,,,,,X,,,,,,09/28/2000,,,,,,,,,,,,,,,
768833,  82,01202,     ,82-1202,Sunset Dr,206,Town of Dayton,082,Rockingham County,0.17,SR 257 Ottobine Rd,82-1209 Thompson,210,R,,,,,,,X,,,,,,10/16/2000,,,,,,,,,,,,,,,
768834,  82,01202,     ,82-1202,Sunset Dr,206,Town of Dayton,082,Rockingham County,0.12,82-1209 Thompson,WCL Dayton; 82-1208,280,R,,,,,,,X,,,,,,10/16/2000,,,,,,,,,,,,,,,
768836,  82,01203,     ,82-1203,West View St,206,Town of Dayton,082,Rockingham County,0.45,SR 257 Ottobine Rd,82-732 Bowman Rd,310,R,,,,,,,X,,,,,,10/16/2000,,,,,,,,,,,,,,,
768837,  82,01204,     ,82-1204,Ashby St,206,Town of Dayton,082,Rockingham County,0.45,SR 257 Ottobine Rd,82-732 Bowman Rd,970,R,,,,,,,X,,,,,,09/28/2000,,,,,,,,,,,,,,,
768838,  82,01205,     ,82-1205,Summit St,206,Town of Dayton,082,Rockingham County,0.16,SR 257 Ottobine Rd,82-1209 Thompson,150,R,,,,,,,X,,,,,,09/28/2000,,,,,,,,,,,,,,,
768839,  82,01205,     ,82-1205,Summit St,206,Town of Dayton,082,Rockingham County,0.12,82-1209 Thompson,82-1208 Mill St,70,R,,,,,,,X,,,,,,09/28/2000,,,,,,,,,,,,,,,
768840,  82,01206,     ,82-1206,East View St,206,Town of Dayton,082,Rockingham County,0.12,SR 257 Ottobine Rd,82-1209 Thompson,280,R,,,,,,,X,,,,,,09/28/2000,,,,,,,,,,,,,,,
768841,  82,01206,     ,82-1206,East View St,206,Town of Dayton,082,Rockingham County,0.13,82-1209 Thompson,82-1208 Mill St,260,R,,,,,,,X,,,,,,09/28/2000,,,,,,,,,,,,,,,
768842,  82,01207,     ,82-1207,High St,206,Town of Dayton,082,Rockingham County,0.40,82-1209 Thompson,82-732 Bowman Rd,260,R,,,,,,,X,,,,,,09/28/2000,,,,,,,,,,,,,,,
768843,  82,01208,     ,82-1208,Mill St,206,Town of Dayton,082,Rockingham County,0.56,WCL Dayton,Bus SR 42,730,R,,,,,,,X,,,,,,10/16/2000,,,,,,,,,,,,,,,
768844,  82,01209,     ,82-1209,Thompson,206,Town of Dayton,082,Rockingham County,0.07,82-1202 Sunset Dr,82-1203 West View St,90,R,,,,,,,X,,,,,,10/21/2003,,,,,,,,,,,,,,,
768845,  82,01209,     ,82-1209,Thompson,206,Town of Dayton,082,Rockingham County,0.09,82-1203 West View Ave,82-1204 Ashby St,190,R,,,,,,,X,,,,,,10/21/2003,,,,,,,,,,,,,,,
768846,  82,01209,     ,82-1209,Thompson,206,Town of Dayton,082,Rockingham County,0.26,82-1204 Ashby Ave,82-1207 High St,460,R,,,,,,,X,,,,,,09/28/2000,,,,,,,,,,,,,,,
768847,  82,01210,     ,82-1210,Stover,206,Town of Dayton,082,Rockingham County,0.09,82-1203 West View St,82-1204 Ashby St,160,R,,,,,,,X,,,,,,10/16/2000,,,,,,,,,,,,,,,
768848,  82,01210,     ,82-1210,Stover St,206,Town of Dayton,082,Rockingham County,0.09,82-1204 Ashby St,82-1205 Summit Ave,40,R,,,,,,,X,,,,,,10/16/2000,,,,,,,,,,,,,,,
768849,  82,01211,     ,82-1211, ,206,Town of Dayton,082,Rockingham County,0.10,SR 257; Bus SR 42,SR 42 John Wayland Hwy,480,R,,,,,,,X,,,,,,10/21/2003,,,,,,,,,,,,,,,
768850,  82,01212,     ,82-1212, ,206,Town of Dayton,082,Rockingham County,0.23,Dead End,82-732 Bowman Rd,610,R,,,,,,,X,,,,,,06/20/2006,,,,,,,,,,,,,,,
769032,  82,09370,     ,82-9370, ,206,Town of Dayton,082,Rockingham County,0.46,82-732 Turner,Ashby High Sch,550,R,,,,,,,X,,,,,,10/26/2000,,,,,,,,,,,,,,,
769033,  82,09370,     ,82-9370, ,206,Town of Dayton,082,Rockingham County,0.04,0.46 MN 82-732,Dayton Elem Sch,280,R,,,,,,,X,,,,,,10/26/2000,,,,,,,,,,,,,,,
769034,  82,09370,     ,82-9370, ,206,Town of Dayton,082,Rockingham County,0.05,0.50 MN 82-732,Dayton Elem Sch,130,R,,,,,,,X,,,,,,10/26/2000,,,,,,,,,,,,,,,
- - - - - - - - - - - - - - - - - - - - - - - - - - - - End of Report - - - - - - - - - - - - - - - - - - - - - - - - - - - - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
