770319,  84,01207,     ,84-1207,Quillen Terrace Circle,271,Town of Nickelsville,084,Scott County,0.10,SR 71 WEST,"84-1208 W, Timothy St",180,R,,,,,,,X,,,,,,10/15/2007,,,,,,,,,,,,,,,
770320,  84,01207,     ,84-1207,Quillen Terrace Circle,271,Town of Nickelsville,084,Scott County,0.20,"84-1208 W, Timothy St",84-1211 Gary St,80,R,,,,,,,X,,,,,,10/15/2007,,,,,,,,,,,,,,,
770321,  84,01207,     ,84-1207,Quillen Terraace Circle,271,Town of Nickelsville,084,Scott County,0.06,84-1211 Gary St,84-1208 MID,50,R,,,,,,,X,,,,,,10/15/2007,,,,,,,,,,,,,,,
770322,  84,01207,     ,84-1207,Quillen Terrace Circle,271,Town of Nickelsville,084,Scott County,0.06,"84-1208 E, Timothy St",SR 71 EAST,310,R,,,,,,,X,,,,,,10/15/2007,,,,,,,,,,,,,,,
770323,  84,01208,     ,84-1208,Timothy St,271,Town of Nickelsville,084,Scott County,0.14,"84-1207 S, Quillen Terrace Circle","84-1207 N, Quillen Terrace Circle",100,R,,,,,,,X,,,,,,10/15/2007,,,,,,,,,,,,,,,
770324,  84,01208,     ,84-1208,Timothy St,271,Town of Nickelsville,084,Scott County,0.05,"84-1207 E, Quillen Terrace Circle",ECL Nickelsville,30,R,,,,,,,X,,,,,,10/15/2007,,,,,,,,,,,,,,,
770325,  84,01209,     ,84-1209,Lamp Light Lane,271,Town of Nickelsville,084,Scott County,0.20,Dead End,84-682,180,R,,,,,,,X,,,,,,10/15/2007,,,,,,,,,,,,,,,
770326,  84,01210,     ,84-1210,School St,271,Town of Nickelsville,084,Scott County,0.25,84-682,84-1205 Taylor St,190,R,,,,,,,X,,,,,,10/15/2007,,,,,,,,,,,,,,,
770327,  84,01211,     ,84-1211,Gary St,271,Town of Nickelsville,084,Scott County,0.07,84-1207 Quillen Terrace Circle; Quillen Terrace C,Dead End,40,R,,,,,,,X,,,,,,10/15/2007,,,,,,,,,,,,,,,
770328,  84,01212,     ,84-1212, ,271,Town of Nickelsville,084,Scott County,0.05,SR 71,84-1210 School St,330,R,,,,,,,X,,,,,,10/15/2007,,,,,,,,,,,,,,,
786791,  84,01213,     ,84-1213,Spartan Band Rd,271,Town of Nickelsville,084,Scott County,0.17,Dead End,SR 71,340,R,,,,,,,X,,,,,,10/15/2007,,,,,,,,,,,,,,,
770376,  84,09381,     ,84-9381, ,271,Town of Nickelsville,084,Scott County,0.08,Nickelsville Elem Sch,SR 71,360,R,,,,,,,X,,,,,,10/15/2007,,,,,,,,,,,,,,,
- - - - - - - - - - - - - - - - - - - - - - - - - - - - End of Report - - - - - - - - - - - - - - - - - - - - - - - - - - - - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
