ReportID:	1216	DataYear:	2012		ReportID:	1216	DataYear:	2012		ReportID:	1216	DataYear:	2012		ReportID:	1216	DataYear:	2012		ReportID:	1216	DataYear:	2012		ReportID:	1216	DataYear:	2012	Prepared	8/5/2013
 		004	Amelia County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%				260,653	0.28%	0.12%				0	0.00%	0.00%				260,653	0.12%		
 		004	Amelia County	7	Rural Major Collector			              	76,200	0.12%	0.03%				59,297	0.06%	0.03%				0	0.00%	0.00%				135,497	0.06%		
 		004	Amelia County	8	Rural Minor Collector			              	26,922	0.04%	0.01%				131	0.00%	0.00%				0	0.00%	0.00%				27,053	0.01%		
 		004	Amelia County	9	Rural Local System			              	69,032	0.11%	0.03%				13	0.00%	0.00%				0	0.00%	0.00%				69,046	0.03%		
 		004	Amelia County Total:						172,154	0.27%	0.08%				320,095	0.35%	0.14%				0	0.00%	0.00%				492,249	0.22%		
 		005	Amherst County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%				76,259	0.08%	0.03%				0	0.00%	0.00%				76,259	0.03%		
 		005	Amherst County	6	Rural Minor Arterial			              	0	0.00%	0.00%				126,202	0.14%	0.06%				0	0.00%	0.00%				126,202	0.06%		
 		005	Amherst County	7	Rural Major Collector			              	49,966	0.08%	0.02%				0	0.00%	0.00%				0	0.00%	0.00%				49,966	0.02%		
 		005	Amherst County	8	Rural Minor Collector			              	10,368	0.02%	0.00%				0	0.00%	0.00%				0	0.00%	0.00%				10,368	0.00%		
 		005	Amherst County	9	Rural Local System			              	45,613	0.07%	0.02%				5	0.00%	0.00%				0	0.00%	0.00%				45,617	0.02%		
 		005	Amherst County	12	Urban Principal Arterial - Other Freeways or Expressways			              	0	0.00%	0.00%				291,406	0.32%	0.13%				0	0.00%	0.00%				291,406	0.13%		
 		005	Amherst County	14	Urban Principal Arterial - Other			              	0	0.00%	0.00%				184,064	0.20%	0.08%				0	0.00%	0.00%				184,064	0.08%		
 		005	Amherst County	16	Urban Minor Arterial			              	13,098	0.02%	0.01%				58,332	0.06%	0.03%				0	0.00%	0.00%				71,430	0.03%		
 		005	Amherst County	17	Urban Collector			              	53,171	0.08%	0.02%				1,940	0.00%	0.00%				0	0.00%	0.00%				55,112	0.02%		
 		005	Amherst County	19	Urban Local System			              	29,301	0.05%	0.01%				1,717	0.00%	0.00%				0	0.00%	0.00%				31,018	0.01%		
 		005	Amherst County Total:						201,517	0.32%	0.09%				739,924	0.80%	0.33%				0	0.00%	0.00%				941,441	0.43%		
 		006	Appomattox County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%				245,240	0.27%	0.11%				0	0.00%	0.00%				245,240	0.11%		
 		006	Appomattox County	6	Rural Minor Arterial			              	0	0.00%	0.00%				51,439	0.06%	0.02%				0	0.00%	0.00%				51,439	0.02%		
 		006	Appomattox County	7	Rural Major Collector			              	63,428	0.10%	0.03%				28,082	0.03%	0.01%				0	0.00%	0.00%				91,510	0.04%		
 		006	Appomattox County	8	Rural Minor Collector			              	10,267	0.02%	0.00%				0	0.00%	0.00%				0	0.00%	0.00%				10,267	0.00%		
 		006	Appomattox County	9	Rural Local System			              	57,344	0.09%	0.03%				303	0.00%	0.00%				0	0.00%	0.00%				57,647	0.03%		
 		006	Appomattox County Total:						131,039	0.21%	0.06%				325,064	0.35%	0.15%				0	0.00%	0.00%				456,103	0.21%		
 		000	Arlington County	11	Urban Principal Arterial - Interstate			              	0	0.00%	0.00%				0	0.00%	0.00%				1,428,274	2.16%	0.65%				1,428,274	0.65%		
 		000	Arlington County	14	Urban Principal Arterial - Other			              	148,851	0.24%	0.07%				1,675,976	1.82%	0.76%				0	0.00%	0.00%				1,824,827	0.82%		
 		000	Arlington County	16	Urban Minor Arterial			              	541,946	0.86%	0.25%				110,370	0.12%	0.05%				0	0.00%	0.00%				652,316	0.29%		
 		000	Arlington County	17	Urban Collector			              	142,528	0.23%	0.06%				1,198	0.00%	0.00%				0	0.00%	0.00%				143,725	0.06%		
 		000	Arlington County	19	Urban Local System			              	389,126	0.62%	0.18%				3,059	0.00%	0.00%				0	0.00%	0.00%				392,185	0.18%		
 		000	Arlington County Total:						1,222,452	1.94%	0.55%				1,790,602	1.95%	0.81%				1,428,274	2.16%	0.65%				4,441,328	2.01%		
 		007	Augusta County	1	Rural Principal Arterial - Interstate			              	0	0.00%	0.00%				0	0.00%	0.00%				1,615,769	2.44%	0.73%				1,615,769	0.73%		
 		007	Augusta County	6	Rural Minor Arterial			              	0	0.00%	0.00%				352,653	0.38%	0.16%				0	0.00%	0.00%				352,653	0.16%		
 		007	Augusta County	7	Rural Major Collector			              	194,848	0.31%	0.09%				187,899	0.20%	0.08%				0	0.00%	0.00%				382,747	0.17%		
 		007	Augusta County	8	Rural Minor Collector			              	72,177	0.11%	0.03%				0	0.00%	0.00%				0	0.00%	0.00%				72,177	0.03%		
 		007	Augusta County	9	Rural Local System			              	175,125	0.28%	0.08%				1,655	0.00%	0.00%				0	0.00%	0.00%				176,780	0.08%		
 		007	Augusta County	11	Urban Principal Arterial - Interstate			              	0	0.00%	0.00%				0	0.00%	0.00%				174,077	0.26%	0.08%				174,077	0.08%		
 		007	Augusta County	14	Urban Principal Arterial - Other			              	0	0.00%	0.00%				112,269	0.12%	0.05%				0	0.00%	0.00%				112,269	0.05%		
 		007	Augusta County	16	Urban Minor Arterial			              	4,083	0.01%	0.00%				190,905	0.21%	0.09%				0	0.00%	0.00%				194,988	0.09%		
 		007	Augusta County	17	Urban Collector			              	140,890	0.22%	0.06%				0	0.00%	0.00%				0	0.00%	0.00%				140,890	0.06%		
 		007	Augusta County	19	Urban Local System			              	11,624	0.02%	0.01%				0	0.00%	0.00%				0	0.00%	0.00%				11,624	0.01%		
 		007	Augusta County Total:						598,746	0.95%	0.27%				845,382	0.92%	0.38%				1,789,847	2.71%	0.81%				3,233,974	1.46%		
 		008	Bath County	6	Rural Minor Arterial			              	0	0.00%	0.00%				88,465	0.10%	0.04%				0	0.00%	0.00%				88,465	0.04%		
 		008	Bath County	7	Rural Major Collector			              	18,361	0.03%	0.01%				0	0.00%	0.00%				0	0.00%	0.00%				18,361	0.01%		
 		008	Bath County	8	Rural Minor Collector			              	3,895	0.01%	0.00%				0	0.00%	0.00%				0	0.00%	0.00%				3,895	0.00%		
 		008	Bath County	9	Rural Local System			              	23,503	0.04%	0.01%				0	0.00%	0.00%				0	0.00%	0.00%				23,503	0.01%		
 		008	Bath County Total:						45,758	0.07%	0.02%				88,465	0.10%	0.04%				0	0.00%	0.00%				134,223	0.06%		
 		009	Bedford County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%				409,154	0.44%	0.18%				0	0.00%	0.00%				409,154	0.18%		
 		009	Bedford County	6	Rural Minor Arterial			              	0	0.00%	0.00%				381,728	0.42%	0.17%				0	0.00%	0.00%				381,728	0.17%		
 		009	Bedford County	7	Rural Major Collector			              	243,500	0.39%	0.11%				71,768	0.08%	0.03%				0	0.00%	0.00%				315,268	0.14%		
 		009	Bedford County	8	Rural Minor Collector			              	8,844	0.01%	0.00%				0	0.00%	0.00%				0	0.00%	0.00%				8,844	0.00%		
 		009	Bedford County	9	Rural Local System			              	206,169	0.33%	0.09%				27	0.00%	0.00%				0	0.00%	0.00%				206,196	0.09%		
 		009	Bedford County	14	Urban Principal Arterial - Other			              	0	0.00%	0.00%				38,507	0.04%	0.02%				0	0.00%	0.00%				38,507	0.02%		
 		009	Bedford County	16	Urban Minor Arterial			              	35,673	0.06%	0.02%				124,136	0.13%	0.06%				0	0.00%	0.00%				159,810	0.07%		
 		009	Bedford County	17	Urban Collector			              	66,846	0.11%	0.03%				265	0.00%	0.00%				0	0.00%	0.00%				67,111	0.03%		
 		009	Bedford County	19	Urban Local System			              	51,354	0.08%	0.02%				0	0.00%	0.00%				0	0.00%	0.00%				51,354	0.02%		
 		009	Bedford County Total:						612,386	0.97%	0.28%				1,025,585	1.12%	0.46%				0	0.00%	0.00%				1,637,972	0.74%		
 		010	Bland County	1	Rural Principal Arterial - Interstate			              	0	0.00%	0.00%				0	0.00%	0.00%				568,681	0.86%	0.26%				568,681	0.26%		
 		010	Bland County	6	Rural Minor Arterial			              	0	0.00%	0.00%				30,328	0.03%	0.01%				0	0.00%	0.00%				30,328	0.01%		
 		010	Bland County	7	Rural Major Collector			              	11,897	0.02%	0.01%				35,575	0.04%	0.02%				0	0.00%	0.00%				47,472	0.02%		
 		010	Bland County	9	Rural Local System			              	54,664	0.09%	0.02%				138	0.00%	0.00%				0	0.00%	0.00%				54,802	0.02%		
 		010	Bland County Total:						66,562	0.11%	0.03%				66,040	0.07%	0.03%				568,681	0.86%	0.26%				701,283	0.32%		
 		011	Botetourt County	1	Rural Principal Arterial - Interstate			              	0	0.00%	0.00%				0	0.00%	0.00%				802,728	1.21%	0.36%				802,728	0.36%		
 		011	Botetourt County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%				240,877	0.26%	0.11%				0	0.00%	0.00%				240,877	0.11%		
 		011	Botetourt County	6	Rural Minor Arterial			              	0	0.00%	0.00%				11,480	0.01%	0.01%				0	0.00%	0.00%				11,480	0.01%		
 		011	Botetourt County	7	Rural Major Collector			              	56,871	0.09%	0.03%				72,498	0.08%	0.03%				0	0.00%	0.00%				129,369	0.06%		
 		011	Botetourt County	8	Rural Minor Collector			              	13,814	0.02%	0.01%				0	0.00%	0.00%				0	0.00%	0.00%				13,814	0.01%		
 		011	Botetourt County	9	Rural Local System			              	75,497	0.12%	0.03%				11,947	0.01%	0.01%				0	0.00%	0.00%				87,444	0.04%		
 		011	Botetourt County	11	Urban Principal Arterial - Interstate			              	0	0.00%	0.00%				0	0.00%	0.00%				199,185	0.30%	0.09%				199,185	0.09%		
 		011	Botetourt County	14	Urban Principal Arterial - Other			              	0	0.00%	0.00%				288,442	0.31%	0.13%				0	0.00%	0.00%				288,442	0.13%		
 		011	Botetourt County	16	Urban Minor Arterial			              	0	0.00%	0.00%				7,621	0.01%	0.00%				0	0.00%	0.00%				7,621	0.00%		
 		011	Botetourt County	17	Urban Collector			              	65,295	0.10%	0.03%				20,852	0.02%	0.01%				0	0.00%	0.00%				86,147	0.04%		
 		011	Botetourt County	19	Urban Local System			              	28,769	0.05%	0.01%				0	0.00%	0.00%				0	0.00%	0.00%				28,769	0.01%		
 		011	Botetourt County Total:						240,246	0.38%	0.11%				653,718	0.71%	0.30%				1,001,912	1.52%	0.45%				1,895,876	0.86%		
 		012	Brunswick County	1	Rural Principal Arterial - Interstate			              	0	0.00%	0.00%				0	0.00%	0.00%				418,249	0.63%	0.19%				418,249	0.19%		
 		012	Brunswick County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%				213,091	0.23%	0.10%				0	0.00%	0.00%				213,091	0.10%		
 		012	Brunswick County	6	Rural Minor Arterial			              	0	0.00%	0.00%				50,101	0.05%	0.02%				0	0.00%	0.00%				50,101	0.02%		
 		012	Brunswick County	7	Rural Major Collector			              	99,960	0.16%	0.05%				59,112	0.06%	0.03%				0	0.00%	0.00%				159,072	0.07%		
 		012	Brunswick County	8	Rural Minor Collector			              	9,427	0.01%	0.00%				0	0.00%	0.00%				0	0.00%	0.00%				9,427	0.00%		
 		012	Brunswick County	9	Rural Local System			              	93,268	0.15%	0.04%				202	0.00%	0.00%				0	0.00%	0.00%				93,471	0.04%		
 		012	Brunswick County Total:						202,655	0.32%	0.09%				322,507	0.35%	0.15%				418,249	0.63%	0.19%				943,411	0.43%		
 		013	Buchanan County	2	Rural Principal Arterial - Other			              	3,603	0.01%	0.00%				244,605	0.27%	0.11%				0	0.00%	0.00%				248,208	0.11%		
 		013	Buchanan County	6	Rural Minor Arterial			              	0	0.00%	0.00%				51,032	0.06%	0.02%				0	0.00%	0.00%				51,032	0.02%		
 		013	Buchanan County	7	Rural Major Collector			              	129,218	0.20%	0.06%				47,722	0.05%	0.02%				0	0.00%	0.00%				176,939	0.08%		
 		013	Buchanan County	8	Rural Minor Collector			              	4,278	0.01%	0.00%				0	0.00%	0.00%				0	0.00%	0.00%				4,278	0.00%		
 		013	Buchanan County	9	Rural Local System			              	139,799	0.22%	0.06%				143	0.00%	0.00%				0	0.00%	0.00%				139,942	0.06%		
 		013	Buchanan County Total:						276,898	0.44%	0.13%				343,501	0.37%	0.16%				0	0.00%	0.00%				620,400	0.28%		
 		014	Buckingham County	6	Rural Minor Arterial			              	0	0.00%	0.00%				266,341	0.29%	0.12%				0	0.00%	0.00%				266,341	0.12%		
 		014	Buckingham County	7	Rural Major Collector			              	49,575	0.08%	0.02%				12,507	0.01%	0.01%				0	0.00%	0.00%				62,082	0.03%		
 		014	Buckingham County	8	Rural Minor Collector			              	9,772	0.02%	0.00%				0	0.00%	0.00%				0	0.00%	0.00%				9,772	0.00%		
 		014	Buckingham County	9	Rural Local System			              	83,800	0.13%	0.04%				10	0.00%	0.00%				0	0.00%	0.00%				83,809	0.04%		
 		014	Buckingham County Total:						143,147	0.23%	0.06%				278,857	0.30%	0.13%				0	0.00%	0.00%				422,004	0.19%		
 		015	Campbell County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%				435,851	0.47%	0.20%				0	0.00%	0.00%				435,851	0.20%		
 		015	Campbell County	6	Rural Minor Arterial			              	0	0.00%	0.00%				208,436	0.23%	0.09%				0	0.00%	0.00%				208,436	0.09%		
 		015	Campbell County	7	Rural Major Collector			              	199,306	0.32%	0.09%				57,547	0.06%	0.03%				0	0.00%	0.00%				256,854	0.12%		
 		015	Campbell County	8	Rural Minor Collector			              	17,843	0.03%	0.01%				0	0.00%	0.00%				0	0.00%	0.00%				17,843	0.01%		
 		015	Campbell County	9	Rural Local System			              	135,964	0.22%	0.06%				191	0.00%	0.00%				0	0.00%	0.00%				136,155	0.06%		
 		015	Campbell County	12	Urban Principal Arterial - Other Freeways or Expressways			              	0	0.00%	0.00%				151,636	0.16%	0.07%				0	0.00%	0.00%				151,636	0.07%		
 		015	Campbell County	14	Urban Principal Arterial - Other			              	0	0.00%	0.00%				246,393	0.27%	0.11%				0	0.00%	0.00%				246,393	0.11%		
 		015	Campbell County	16	Urban Minor Arterial			              	48,398	0.08%	0.02%				0	0.00%	0.00%				0	0.00%	0.00%				48,398	0.02%		
 		015	Campbell County	17	Urban Collector			              	64,688	0.10%	0.03%				0	0.00%	0.00%				0	0.00%	0.00%				64,688	0.03%		
 		015	Campbell County	19	Urban Local System			              	47,542	0.08%	0.02%				337	0.00%	0.00%				0	0.00%	0.00%				47,879	0.02%		
 		015	Campbell County Total:						513,741	0.81%	0.23%				1,100,392	1.20%	0.50%				0	0.00%	0.00%				1,614,133	0.73%		
 		016	Caroline County	1	Rural Principal Arterial - Interstate			              	0	0.00%	0.00%				0	0.00%	0.00%				1,404,238	2.12%	0.63%				1,404,238	0.63%		
 		016	Caroline County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%				324,614	0.35%	0.15%				0	0.00%	0.00%				324,614	0.15%		
 		016	Caroline County	6	Rural Minor Arterial			              	0	0.00%	0.00%				151,440	0.16%	0.07%				0	0.00%	0.00%				151,440	0.07%		
 		016	Caroline County	7	Rural Major Collector			              	154,339	0.24%	0.07%				80,981	0.09%	0.04%				0	0.00%	0.00%				235,320	0.11%		
 		016	Caroline County	8	Rural Minor Collector			              	16,930	0.03%	0.01%				0	0.00%	0.00%				0	0.00%	0.00%				16,930	0.01%		
 		016	Caroline County	9	Rural Local System			              	392,991	0.62%	0.18%				746	0.00%	0.00%				0	0.00%	0.00%				393,736	0.18%		
 		016	Caroline County Total:						564,260	0.89%	0.26%				557,781	0.61%	0.25%				1,404,238	2.12%	0.63%				2,526,279	1.14%		
 		017	Carroll County	1	Rural Principal Arterial - Interstate			              	0	0.00%	0.00%				0	0.00%	0.00%				864,594	1.31%	0.39%				864,594	0.39%		
 		017	Carroll County	6	Rural Minor Arterial			              	0	0.00%	0.00%				260,411	0.28%	0.12%				0	0.00%	0.00%				260,411	0.12%		
 		017	Carroll County	7	Rural Major Collector			              	126,120	0.20%	0.06%				94,801	0.10%	0.04%				0	0.00%	0.00%				220,921	0.10%		
 		017	Carroll County	8	Rural Minor Collector			              	15,327	0.02%	0.01%				0	0.00%	0.00%				0	0.00%	0.00%				15,327	0.01%		
 		017	Carroll County	9	Rural Local System			              	112,538	0.18%	0.05%				169	0.00%	0.00%				0	0.00%	0.00%				112,707	0.05%		
 		017	Carroll County	14	Urban Principal Arterial - Other			              	0	0.00%	0.00%				31,177	0.03%	0.01%				0	0.00%	0.00%				31,177	0.01%		
 		017	Carroll County	16	Urban Minor Arterial			              	4,212	0.01%	0.00%				0	0.00%	0.00%				0	0.00%	0.00%				4,212	0.00%		
 		017	Carroll County	17	Urban Collector			              	265	0.00%	0.00%				0	0.00%	0.00%				0	0.00%	0.00%				265	0.00%		
 		017	Carroll County	19	Urban Local System			              	1,082	0.00%	0.00%				0	0.00%	0.00%				0	0.00%	0.00%				1,082	0.00%		
 		017	Carroll County Total:						259,543	0.41%	0.12%				386,558	0.42%	0.17%				864,594	1.31%	0.39%				1,510,695	0.68%		
 		018	Charles City County	6	Rural Minor Arterial			              	0	0.00%	0.00%				85,845	0.09%	0.04%				0	0.00%	0.00%				85,845	0.04%		
 		018	Charles City County	7	Rural Major Collector			              	26,290	0.04%	0.01%				12,097	0.01%	0.01%				0	0.00%	0.00%				38,387	0.02%		
 		018	Charles City County	8	Rural Minor Collector			              	4,558	0.01%	0.00%				0	0.00%	0.00%				0	0.00%	0.00%				4,558	0.00%		
 		018	Charles City County	9	Rural Local System			              	43,910	0.07%	0.02%				0	0.00%	0.00%				0	0.00%	0.00%				43,910	0.02%		
 		018	Charles City County Total:						74,758	0.12%	0.03%				97,942	0.11%	0.04%				0	0.00%	0.00%				172,699	0.08%		
 		019	Charlotte County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%				120,201	0.13%	0.05%				0	0.00%	0.00%				120,201	0.05%		
 		019	Charlotte County	6	Rural Minor Arterial			              	0	0.00%	0.00%				73,445	0.08%	0.03%				0	0.00%	0.00%				73,445	0.03%		
 		019	Charlotte County	7	Rural Major Collector			              	42,653	0.07%	0.02%				80,285	0.09%	0.04%				0	0.00%	0.00%				122,938	0.06%		
 		019	Charlotte County	8	Rural Minor Collector			              	3,244	0.01%	0.00%				292	0.00%	0.00%				0	0.00%	0.00%				3,536	0.00%		
 		019	Charlotte County	9	Rural Local System			              	62,582	0.10%	0.03%				68	0.00%	0.00%				0	0.00%	0.00%				62,650	0.03%		
 		019	Charlotte County Total:						108,479	0.17%	0.05%				274,292	0.30%	0.12%				0	0.00%	0.00%				382,771	0.17%		
 		020	Chesterfield County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%				178,657	0.19%	0.08%				0	0.00%	0.00%				178,657	0.08%		
 		020	Chesterfield County	6	Rural Minor Arterial			              	95,314	0.15%	0.04%				0	0.00%	0.00%				0	0.00%	0.00%				95,314	0.04%		
 		020	Chesterfield County	7	Rural Major Collector			              	101,076	0.16%	0.05%				0	0.00%	0.00%				0	0.00%	0.00%				101,076	0.05%		
 		020	Chesterfield County	9	Rural Local System			              	88,973	0.14%	0.04%				494	0.00%	0.00%				0	0.00%	0.00%				89,467	0.04%		
 		020	Chesterfield County	11	Urban Principal Arterial - Interstate			              	0	0.00%	0.00%				0	0.00%	0.00%				1,274,796	1.93%	0.58%				1,274,796	0.58%		
 		020	Chesterfield County	12	Urban Principal Arterial - Other Freeways or Expressways			              	0	0.00%	0.00%				1,960,497	2.13%	0.89%				0	0.00%	0.00%				1,960,497	0.89%		
 		020	Chesterfield County	14	Urban Principal Arterial - Other			              	155,365	0.25%	0.07%				2,078,223	2.26%	0.94%				0	0.00%	0.00%				2,233,587	1.01%		
 		020	Chesterfield County	16	Urban Minor Arterial			              	847,719	1.34%	0.38%				150,738	0.16%	0.07%				0	0.00%	0.00%				998,457	0.45%		
 		020	Chesterfield County	17	Urban Collector			              	570,074	0.90%	0.26%				0	0.00%	0.00%				0	0.00%	0.00%				570,074	0.26%		
 		020	Chesterfield County	19	Urban Local System			              	801,485	1.27%	0.36%				4,021	0.00%	0.00%				0	0.00%	0.00%				805,506	0.36%		
 		020	Chesterfield County Total:						2,660,006	4.21%	1.20%				4,372,630	4.75%	1.98%				1,274,796	1.93%	0.58%				8,307,433	3.76%		
 		021	Clarke County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%				367,712	0.40%	0.17%				0	0.00%	0.00%				367,712	0.17%		
 		021	Clarke County	6	Rural Minor Arterial			              	0	0.00%	0.00%				244,352	0.27%	0.11%				0	0.00%	0.00%				244,352	0.11%		
 		021	Clarke County	7	Rural Major Collector			              	58,333	0.09%	0.03%				23,392	0.03%	0.01%				0	0.00%	0.00%				81,725	0.04%		
 		021	Clarke County	8	Rural Minor Collector			              	31,017	0.05%	0.01%				0	0.00%	0.00%				0	0.00%	0.00%				31,017	0.01%		
 		021	Clarke County	9	Rural Local System			              	34,839	0.06%	0.02%				221	0.00%	0.00%				0	0.00%	0.00%				35,060	0.02%		
 		021	Clarke County Total:						124,190	0.20%	0.06%				635,677	0.69%	0.29%				0	0.00%	0.00%				759,866	0.34%		
 		022	Craig County	7	Rural Major Collector			              	11,411	0.02%	0.01%				64,208	0.07%	0.03%				0	0.00%	0.00%				75,619	0.03%		
 		022	Craig County	8	Rural Minor Collector			              	1,991	0.00%	0.00%				0	0.00%	0.00%				0	0.00%	0.00%				1,991	0.00%		
 		022	Craig County	9	Rural Local System			              	22,559	0.04%	0.01%				0	0.00%	0.00%				0	0.00%	0.00%				22,559	0.01%		
 		022	Craig County Total:						35,961	0.06%	0.02%				64,208	0.07%	0.03%				0	0.00%	0.00%				100,169	0.05%		
 		023	Culpeper County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%				538,767	0.59%	0.24%				0	0.00%	0.00%				538,767	0.24%		
 		023	Culpeper County	6	Rural Minor Arterial			              	0	0.00%	0.00%				329,687	0.36%	0.15%				0	0.00%	0.00%				329,687	0.15%		
 		023	Culpeper County	7	Rural Major Collector			              	115,688	0.18%	0.05%				22,935	0.02%	0.01%				0	0.00%	0.00%				138,623	0.06%		
 		023	Culpeper County	8	Rural Minor Collector			              	13,379	0.02%	0.01%				0	0.00%	0.00%				0	0.00%	0.00%				13,379	0.01%		
