700685,  01,01203,     ,01-1203,Main St,276,Town of Painter,001,Accomack County,0.05,01-1202 Alexine St,01-1207 Callahan Dr,430,R,,,,,,,X,,,,,,06/21/2011,,,,,,,,,,,,,,,
700686,  01,01203,     ,01-1203,Main St,276,Town of Painter,001,Accomack County,0.15,01-1207 Callahan Dr,01-1201 Grant St,400,R,,,,,,,X,,,,,,06/21/2011,,,,,,,,,,,,,,,
700687,  01,01203,     ,01-1203,Main St,276,Town of Painter,001,Accomack County,0.05,01-1201 Grant St,SR 182 Mappsburg Rd,420,R,,,,,,,X,,,,,,06/21/2011,,,,,,,,,,,,,,,
785046,  01,01204,     ,01-1204,Cosby St,276,Town of Painter,001,Accomack County,0.31,WCL Painter,01-614; 01-619,810,N,,,,,,,X,,,,0,N,06/21/2011,,,,,,,,,,,,,,,
700689,  01,01205,     ,01-1205,Duer St,276,Town of Painter,001,Accomack County,0.09,01-619 Hickman St,US 13 Lankford Hwy,910,R,,,,,,,X,,,,,,06/21/2011,,,,,,,,,,,,,,,
700690,  01,01206,     ,01-1206,Savage St,276,Town of Painter,001,Accomack County,0.20,"0.10 MW 01-1201, End State Maintenance","0.10 ME 01-1201, End State Maintenance",160,R,,,,,,,X,,,,,,06/21/2011,,,,,,,,,,,,,,,
700691,  01,01207,     ,01-1207,Callahan St,276,Town of Painter,001,Accomack County,0.06,01-1203 Main St,SR 182 Mappsburg Rd,70,R,,,,,,,X,,,,,,06/21/2011,,,,,,,,,,,,,,,
700692,  01,01207,     ,01-1207,Callahan Dr,276,Town of Painter,001,Accomack County,0.12,SR 182 Mappsburg Rd,01-1210 Callahan Dr,40,R,,,,,,,X,,,,,,06/21/2011,,,,,,,,,,,,,,,
700693,  01,01208,     ,01-1208,Railroad Ave,276,Town of Painter,001,Accomack County,0.10,SR 182 Mappsburg Rd,01-1209 Fleming St,110,R,,,,,,,X,,,,,,06/21/2011,,,,,,,,,,,,,,,
700694,  01,01209,     ,01-1209,Fleming St,276,Town of Painter,001,Accomack County,0.09,01-1208 Railroad Ave,01-1201 Grant St,30,R,,,,,,,X,,,,,,06/21/2011,,,,,,,,,,,,,,,
700695,  01,01210,     ,01-1210,Callahan Dr,276,Town of Painter,001,Accomack County,0.05,01-1202 Alexine St,01-1207 Callahan Dr,20,R,,,,,,,X,,,,,,06/21/2011,,,,,,,,,,,,,,,
- - - - - - - - - - - - - - - - - - - - - - - - - - - - End of Report - - - - - - - - - - - - - - - - - - - - - - - - - - - - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
