1,Southwestern Region,006,Appomattox County,,,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,18,427,0.04%,0.01%,434.27,0.90%,0.59%,64,017,0.09%,0.03%,54.48,0.65%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,444,0.04%,488.75,0.66%
1,Southwestern Region,006,Appomattox County,,,04,Busses,              ,78,0.00%,0.00%,434.27,0.90%,0.59%,1,605,0.00%,0.00%,54.48,0.65%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,682,0.00%,488.75,0.66%
1,Southwestern Region,006,Appomattox County,,,05,"Two Axle, 6 Tire Single Unit Trucks",              ,604,0.00%,0.00%,434.27,0.90%,0.59%,2,486,0.00%,0.00%,54.48,0.65%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,090,0.00%,488.75,0.66%
1,Southwestern Region,006,Appomattox County,,,06,Three Axle Single Unit Trucks,              ,577,0.00%,0.00%,434.27,0.90%,0.59%,2,221,0.00%,0.00%,54.48,0.65%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,798,0.00%,488.75,0.66%
1,Southwestern Region,006,Appomattox County,,,07,Four or More Axle Single Unit Trucks,              ,285,0.00%,0.00%,434.27,0.90%,0.59%,520,0.00%,0.00%,54.48,0.65%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805,0.00%,488.75,0.66%
1,Southwestern Region,006,Appomattox County,,,08,Four Axle or Fewer Single Trailers,              ,164,0.00%,0.00%,434.27,0.90%,0.59%,1,462,0.00%,0.00%,54.48,0.65%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,626,0.00%,488.75,0.66%
1,Southwestern Region,006,Appomattox County,,,09,Five Axle Single Trailers,              ,1,059,0.00%,0.00%,434.27,0.90%,0.59%,18,867,0.03%,0.01%,54.48,0.65%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,926,0.01%,488.75,0.66%
1,Southwestern Region,006,Appomattox County,,,10,Six or More Axle Single Trailers,              ,48,0.00%,0.00%,434.27,0.90%,0.59%,468,0.00%,0.00%,54.48,0.65%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515,0.00%,488.75,0.66%
1,Southwestern Region,006,Appomattox County,,,11,Five Axle or Fewer Multi-Trailers,              ,1,0.00%,0.00%,434.27,0.90%,0.59%,509,0.00%,0.00%,54.48,0.65%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,0.00%,488.75,0.66%
1,Southwestern Region,006,Appomattox County,,,12,Six Axle Multi-Trailers,              ,1,0.00%,0.00%,434.27,0.90%,0.59%,82,0.00%,0.00%,54.48,0.65%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,0.00%,488.75,0.66%
1,Southwestern Region,006,Appomattox County,,,13,Seven or More Axle Multi-Trailers,              ,0,0.00%,0.00%,434.27,0.90%,0.59%,2,0.00%,0.00%,54.48,0.65%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.00%,488.75,0.66%
1,Southwestern Region,006,Appomattox County Total:,,,,,,135,134,0.32%,0.06%,434.27,0.90%,0.59%,323,517,0.47%,0.14%,54.48,0.65%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,651,0.20%,488.75,0.66%
1,Southwestern Region,009,Bedford County,,,01,Motorcycles,              ,2,088,0.00%,0.00%,993.97,2.05%,1.34%,5,452,0.01%,0.00%,152.84,1.84%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,540,0.00%,1,146.81,1.55%
1,Southwestern Region,009,Bedford County,,,02,Passenger Cars,              ,525,276,1.26%,0.23%,993.97,2.05%,1.34%,787,827,1.15%,0.35%,152.84,1.84%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,313,103,0.58%,1,146.81,1.55%
1,Southwestern Region,009,Bedford County,,,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,75,432,0.18%,0.03%,993.97,2.05%,1.34%,224,482,0.33%,0.10%,152.84,1.84%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,914,0.13%,1,146.81,1.55%
1,Southwestern Region,009,Bedford County,,,04,Busses,              ,1,908,0.00%,0.00%,993.97,2.05%,1.34%,7,687,0.01%,0.00%,152.84,1.84%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,595,0.00%,1,146.81,1.55%
1,Southwestern Region,009,Bedford County,,,05,"Two Axle, 6 Tire Single Unit Trucks",              ,2,895,0.01%,0.00%,993.97,2.05%,1.34%,11,283,0.02%,0.01%,152.84,1.84%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,178,0.01%,1,146.81,1.55%
1,Southwestern Region,009,Bedford County,,,06,Three Axle Single Unit Trucks,              ,1,616,0.00%,0.00%,993.97,2.05%,1.34%,9,257,0.01%,0.00%,152.84,1.84%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,873,0.00%,1,146.81,1.55%
1,Southwestern Region,009,Bedford County,,,07,Four or More Axle Single Unit Trucks,              ,291,0.00%,0.00%,993.97,2.05%,1.34%,2,858,0.00%,0.00%,152.84,1.84%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,148,0.00%,1,146.81,1.55%
1,Southwestern Region,009,Bedford County,,,08,Four Axle or Fewer Single Trailers,              ,718,0.00%,0.00%,993.97,2.05%,1.34%,5,146,0.01%,0.00%,152.84,1.84%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,863,0.00%,1,146.81,1.55%
1,Southwestern Region,009,Bedford County,,,09,Five Axle Single Trailers,              ,1,045,0.00%,0.00%,993.97,2.05%,1.34%,50,823,0.07%,0.02%,152.84,1.84%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,868,0.02%,1,146.81,1.55%
1,Southwestern Region,009,Bedford County,,,10,Six or More Axle Single Trailers,              ,57,0.00%,0.00%,993.97,2.05%,1.34%,823,0.00%,0.00%,152.84,1.84%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879,0.00%,1,146.81,1.55%
1,Southwestern Region,009,Bedford County,,,11,Five Axle or Fewer Multi-Trailers,              ,4,0.00%,0.00%,993.97,2.05%,1.34%,1,623,0.00%,0.00%,152.84,1.84%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,626,0.00%,1,146.81,1.55%
1,Southwestern Region,009,Bedford County,,,12,Six Axle Multi-Trailers,              ,0,0.00%,0.00%,993.97,2.05%,1.34%,113,0.00%,0.00%,152.84,1.84%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,0.00%,1,146.81,1.55%
1,Southwestern Region,009,Bedford County,,,13,Seven or More Axle Multi-Trailers,              ,0,0.00%,0.00%,993.97,2.05%,1.34%,4,0.00%,0.00%,152.84,1.84%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.00%,1,146.81,1.55%
1,Southwestern Region,009,Bedford County Total:,,,,,,611,329,1.46%,0.27%,993.97,2.05%,1.34%,1,107,375,1.61%,0.49%,152.84,1.84%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,718,704,0.76%,1,146.81,1.55%
1,Southwestern Region,010,Bland County,,,01,Motorcycles,              ,26,0.00%,0.00%,209.21,0.43%,0.28%,472,0.00%,0.00%,79.80,0.96%,0.11%,2,998,0.00%,0.00%,21.69,1.94%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,496,0.00%,310.70,0.42%
1,Southwestern Region,010,Bland County,,,02,Passenger Cars,              ,65,342,0.16%,0.03%,209.21,0.43%,0.28%,51,670,0.08%,0.02%,79.80,0.96%,0.11%,332,009,0.51%,0.15%,21.69,1.94%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,020,0.20%,310.70,0.42%
1,Southwestern Region,010,Bland County,,,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,3,584,0.01%,0.00%,209.21,0.43%,0.28%,19,536,0.03%,0.01%,79.80,0.96%,0.11%,85,198,0.13%,0.04%,21.69,1.94%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,317,0.05%,310.70,0.42%
1,Southwestern Region,010,Bland County,,,04,Busses,              ,51,0.00%,0.00%,209.21,0.43%,0.28%,656,0.00%,0.00%,79.80,0.96%,0.11%,3,734,0.01%,0.00%,21.69,1.94%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,440,0.00%,310.70,0.42%
1,Southwestern Region,010,Bland County,,,05,"Two Axle, 6 Tire Single Unit Trucks",              ,186,0.00%,0.00%,209.21,0.43%,0.28%,1,170,0.00%,0.00%,79.80,0.96%,0.11%,4,065,0.01%,0.00%,21.69,1.94%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,421,0.00%,310.70,0.42%
1,Southwestern Region,010,Bland County,,,06,Three Axle Single Unit Trucks,              ,211,0.00%,0.00%,209.21,0.43%,0.28%,455,0.00%,0.00%,79.80,0.96%,0.11%,2,755,0.00%,0.00%,21.69,1.94%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,421,0.00%,310.70,0.42%
1,Southwestern Region,010,Bland County,,,07,Four or More Axle Single Unit Trucks,              ,25,0.00%,0.00%,209.21,0.43%,0.28%,71,0.00%,0.00%,79.80,0.96%,0.11%,282,0.00%,0.00%,21.69,1.94%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,0.00%,310.70,0.42%
1,Southwestern Region,010,Bland County,,,08,Four Axle or Fewer Single Trailers,              ,118,0.00%,0.00%,209.21,0.43%,0.28%,446,0.00%,0.00%,79.80,0.96%,0.11%,2,692,0.00%,0.00%,21.69,1.94%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,257,0.00%,310.70,0.42%
1,Southwestern Region,010,Bland County,,,09,Five Axle Single Trailers,              ,649,0.00%,0.00%,209.21,0.43%,0.28%,775,0.00%,0.00%,79.80,0.96%,0.11%,98,837,0.15%,0.04%,21.69,1.94%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,260,0.04%,310.70,0.42%
1,Southwestern Region,010,Bland County,,,10,Six or More Axle Single Trailers,              ,8,0.00%,0.00%,209.21,0.43%,0.28%,48,0.00%,0.00%,79.80,0.96%,0.11%,982,0.00%,0.00%,21.69,1.94%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,038,0.00%,310.70,0.42%
1,Southwestern Region,010,Bland County,,,11,Five Axle or Fewer Multi-Trailers,              ,0,0.00%,0.00%,209.21,0.43%,0.28%,28,0.00%,0.00%,79.80,0.96%,0.11%,6,391,0.01%,0.00%,21.69,1.94%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,419,0.00%,310.70,0.42%
1,Southwestern Region,010,Bland County,,,12,Six Axle Multi-Trailers,              ,0,0.00%,0.00%,209.21,0.43%,0.28%,0,0.00%,0.00%,79.80,0.96%,0.11%,1,591,0.00%,0.00%,21.69,1.94%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,591,0.00%,310.70,0.42%
1,Southwestern Region,010,Bland County,,,13,Seven or More Axle Multi-Trailers,              ,0,0.00%,0.00%,209.21,0.43%,0.28%,0,0.00%,0.00%,79.80,0.96%,0.11%,36,0.00%,0.00%,21.69,1.94%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0.00%,310.70,0.42%
1,Southwestern Region,010,Bland County Total:,,,,,,70,201,0.17%,0.03%,209.21,0.43%,0.28%,75,326,0.11%,0.03%,79.80,0.96%,0.11%,541,570,0.83%,0.24%,21.69,1.94%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687,097,0.31%,310.70,0.42%
1,Southwestern Region,011,Botetourt County,,,01,Motorcycles,              ,186,0.00%,0.00%,556.34,1.15%,0.75%,3,238,0.00%,0.00%,99.04,1.19%,0.13%,4,147,0.01%,0.00%,26.86,2.40%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,570,0.00%,682.24,0.92%
1,Southwestern Region,011,Botetourt County,,,02,Passenger Cars,              ,196,769,0.47%,0.09%,556.34,1.15%,0.75%,481,960,0.70%,0.21%,99.04,1.19%,0.13%,537,292,0.83%,0.24%,26.86,2.40%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,216,021,0.54%,682.24,0.92%
1,Southwestern Region,011,Botetourt County,,,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,25,599,0.06%,0.01%,556.34,1.15%,0.75%,121,573,0.18%,0.05%,99.04,1.19%,0.13%,124,423,0.19%,0.06%,26.86,2.40%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,595,0.12%,682.24,0.92%
1,Southwestern Region,011,Botetourt County,,,04,Busses,              ,1,270,0.00%,0.00%,556.34,1.15%,0.75%,3,953,0.01%,0.00%,99.04,1.19%,0.13%,7,824,0.01%,0.00%,26.86,2.40%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,047,0.01%,682.24,0.92%
1,Southwestern Region,011,Botetourt County,,,05,"Two Axle, 6 Tire Single Unit Trucks",              ,1,150,0.00%,0.00%,556.34,1.15%,0.75%,5,213,0.01%,0.00%,99.04,1.19%,0.13%,8,372,0.01%,0.00%,26.86,2.40%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,735,0.01%,682.24,0.92%
1,Southwestern Region,011,Botetourt County,,,06,Three Axle Single Unit Trucks,              ,818,0.00%,0.00%,556.34,1.15%,0.75%,4,744,0.01%,0.00%,99.04,1.19%,0.13%,5,656,0.01%,0.00%,26.86,2.40%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,217,0.00%,682.24,0.92%
1,Southwestern Region,011,Botetourt County,,,07,Four or More Axle Single Unit Trucks,              ,65,0.00%,0.00%,556.34,1.15%,0.75%,1,228,0.00%,0.00%,99.04,1.19%,0.13%,354,0.00%,0.00%,26.86,2.40%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,647,0.00%,682.24,0.92%
1,Southwestern Region,011,Botetourt County,,,08,Four Axle or Fewer Single Trailers,              ,241,0.00%,0.00%,556.34,1.15%,0.75%,2,471,0.00%,0.00%,99.04,1.19%,0.13%,5,728,0.01%,0.00%,26.86,2.40%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,439,0.00%,682.24,0.92%
1,Southwestern Region,011,Botetourt County,,,09,Five Axle Single Trailers,              ,1,543,0.00%,0.00%,556.34,1.15%,0.75%,34,649,0.05%,0.02%,99.04,1.19%,0.13%,256,640,0.39%,0.11%,26.86,2.40%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,832,0.13%,682.24,0.92%
1,Southwestern Region,011,Botetourt County,,,10,Six or More Axle Single Trailers,              ,47,0.00%,0.00%,556.34,1.15%,0.75%,557,0.00%,0.00%,99.04,1.19%,0.13%,1,771,0.00%,0.00%,26.86,2.40%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,375,0.00%,682.24,0.92%
1,Southwestern Region,011,Botetourt County,,,11,Five Axle or Fewer Multi-Trailers,              ,1,0.00%,0.00%,556.34,1.15%,0.75%,523,0.00%,0.00%,99.04,1.19%,0.13%,16,225,0.02%,0.01%,26.86,2.40%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,748,0.01%,682.24,0.92%
1,Southwestern Region,011,Botetourt County,,,12,Six Axle Multi-Trailers,              ,0,0.00%,0.00%,556.34,1.15%,0.75%,64,0.00%,0.00%,99.04,1.19%,0.13%,6,322,0.01%,0.00%,26.86,2.40%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,386,0.00%,682.24,0.92%
1,Southwestern Region,011,Botetourt County,,,13,Seven or More Axle Multi-Trailers,              ,0,0.00%,0.00%,556.34,1.15%,0.75%,3,0.00%,0.00%,99.04,1.19%,0.13%,18,0.00%,0.00%,26.86,2.40%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0.00%,682.24,0.92%
1,Southwestern Region,011,Botetourt County Total:,,,,,,227,687,0.54%,0.10%,556.34,1.15%,0.75%,660,175,0.96%,0.29%,99.04,1.19%,0.13%,974,771,1.50%,0.43%,26.86,2.40%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,862,634,0.83%,682.24,0.92%
1,Southwestern Region,013,Buchanan County,,,01,Motorcycles,              ,439,0.00%,0.00%,462.82,0.95%,0.63%,1,364,0.00%,0.00%,72.82,0.87%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,803,0.00%,535.64,0.72%
1,Southwestern Region,013,Buchanan County,,,02,Passenger Cars,              ,270,592,0.65%,0.12%,462.82,0.95%,0.63%,277,090,0.40%,0.12%,72.82,0.87%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547,682,0.24%,535.64,0.72%
1,Southwestern Region,013,Buchanan County,,,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,27,587,0.07%,0.01%,462.82,0.95%,0.63%,85,157,0.12%,0.04%,72.82,0.87%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,744,0.05%,535.64,0.72%
1,Southwestern Region,013,Buchanan County,,,04,Busses,              ,834,0.00%,0.00%,462.82,0.95%,0.63%,2,235,0.00%,0.00%,72.82,0.87%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,069,0.00%,535.64,0.72%
1,Southwestern Region,013,Buchanan County,,,05,"Two Axle, 6 Tire Single Unit Trucks",              ,1,274,0.00%,0.00%,462.82,0.95%,0.63%,3,352,0.00%,0.00%,72.82,0.87%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,626,0.00%,535.64,0.72%
1,Southwestern Region,013,Buchanan County,,,06,Three Axle Single Unit Trucks,              ,2,081,0.00%,0.00%,462.82,0.95%,0.63%,4,358,0.01%,0.00%,72.82,0.87%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,439,0.00%,535.64,0.72%
1,Southwestern Region,013,Buchanan County,,,07,Four or More Axle Single Unit Trucks,              ,406,0.00%,0.00%,462.82,0.95%,0.63%,1,572,0.00%,0.00%,72.82,0.87%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,978,0.00%,535.64,0.72%
1,Southwestern Region,013,Buchanan County,,,08,Four Axle or Fewer Single Trailers,              ,196,0.00%,0.00%,462.82,0.95%,0.63%,979,0.00%,0.00%,72.82,0.87%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,175,0.00%,535.64,0.72%
