700715,  01,01402,     ,01-1402,First St,246,Town of Keller,001,Accomack County,0.10,SR 180,01-620 West St,620,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700716,  01,01402,     ,01-1402,First St,246,Town of Keller,001,Accomack County,0.06,01-620 West St,01-1404 Center St,160,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700717,  01,01402,     ,01-1402,First St,246,Town of Keller,001,Accomack County,0.06,01-1404 Center St,US 13 Lankford Hwy,910,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700718,  01,01403,     ,01-1403,Second St,246,Town of Keller,001,Accomack County,0.06,01-620 West St,01-1404 Center St,110,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700719,  01,01403,     ,01-1403,Second St,246,Town of Keller,001,Accomack County,0.05,01-1404 Center St,US 13 Lankford Hwy,110,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700720,  01,01404,     ,01-1404,Center St,246,Town of Keller,001,Accomack County,0.22,01-1403 Second St,01-620; 01-1406,430,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700721,  01,01405,     ,01-1405,Madison Ave,246,Town of Keller,001,Accomack County,0.09,SR 180,01-1401 North St,60,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700722,  01,01405,     ,01-1405,Madison Ave,246,Town of Keller,001,Accomack County,0.09,01-1401 North St,01-1406 Lee St,70,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700723,  01,01406,     ,01-1406,Lee St,246,Town of Keller,001,Accomack County,0.09,01-1405 Madison Ave,01-1401 North St,20,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700724,  01,01406,     ,01-1406,Lee St,246,Town of Keller,001,Accomack County,0.07,01-1401 North St,01-620; 01-1404,40,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
- - - - - - - - - - - - - - - - - - - - - - - - - - - - End of Report - - - - - - - - - - - - - - - - - - - - - - - - - - - - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
