739662,  34,01002,     ,34-1002,Mulberry St,304,Town of Stephens City,034,Frederick County,0.15,34-1007 Locust St,Dead End,430,R,,,,,,,X,,,,,,06/13/2005,,,,,,,,,,,,,,,
739663,  34,01003,     ,34-1003,Laura Dr,304,Town of Stephens City,034,Frederick County,0.50,34-1005 School St,34-1008 Filbert St,550,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739664,  34,01003,     ,34-1003,Laura Dr,304,Town of Stephens City,034,Frederick County,0.10,34-1008 Filbert St,34-1009 Gap,270,R,,,,,,,X,,,,,,06/13/2005,,,,,,,,,,,,,,,
739665,  34,01003,     ,34-1003,Laura Dr,304,Town of Stephens City,034,Frederick County,0.18,34-1016 Gap,Dead End,130,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739666,  34,01004,     ,34-1004,Water St,304,Town of Stephens City,034,Frederick County,0.10,34-631 Fairfax St,34-1001 Martin St,100,R,,,,,,,X,,,,,,06/13/2005,,,,,,,,,,,,,,,
739667,  34,01004,     ,34-1004,Water St,304,Town of Stephens City,034,Frederick County,0.10,34-1001 Martin St,34-1007 Locust St,40,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739668,  34,01005,     ,34-1005,School St,304,Town of Stephens City,034,Frederick County,0.10,34-1002 Mulberry St,34-1003 Laura Dr,180,R,,,,,,,X,,,,,,06/13/2005,,,,,,,,,,,,,,,
739669,  34,01006,     ,34-1006,Green St,304,Town of Stephens City,034,Frederick County,0.05,Dead End,34-1003 Laura Dr,70,R,,,,,,,X,,,,,,06/13/2005,,,,,,,,,,,,,,,
739670,  34,01006,     ,34-1006,Green St,304,Town of Stephens City,034,Frederick County,0.05,34-1003 Laura Dr,US 11 Main St,280,R,,,,,,,X,,,,,,06/13/2005,,,,,,,,,,,,,,,
739671,  34,01006,     ,34-1006,Green St,304,Town of Stephens City,034,Frederick County,0.05,US 11 Main St,34-1002 Mulberry St,740,R,,,,,,,X,,,,,,06/13/2005,,,,,,,,,,,,,,,
739672,  34,01006,     ,34-1006,Green St,304,Town of Stephens City,034,Frederick County,0.07,34-1002 Mulberry St,Dead End,30,R,,,,,,,X,,,,,,06/13/2005,,,,,,,,,,,,,,,
739673,  34,01007,     ,34-1007,Locust St,304,Town of Stephens City,034,Frederick County,0.05,34-1002 Mulberry St,US 11 Main St,2100,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739674,  34,01007,     ,34-1007,Locust St,304,Town of Stephens City,034,Frederick County,0.05,US 11 Main St,34-1003 Laura Dr,580,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739675,  34,01007,     ,34-1007,Locust St,304,Town of Stephens City,034,Frederick County,0.05,34-1003 Laura Dr,34-1004 Water St,440,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739676,  34,01007,     ,34-1007,Locust St,304,Town of Stephens City,034,Frederick County,0.03,34-1004 Water St,34-1024 Chestnut Circle,420,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739677,  34,01007,     ,34-1007,Locust St,304,Town of Stephens City,034,Frederick County,0.09,34-1024 Chestnut Circle,34-1011 Grove St,220,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739678,  34,01008,     ,34-1008,Filbert St,304,Town of Stephens City,034,Frederick County,0.05,US 11 Main St,34-1003 Laura Dr,600,R,,,,,,,X,,,,,,05/25/2011,,,,,,,,,,,,,,,
739679,  34,01008,     ,34-1008,Filbert St,304,Town of Stephens City,034,Frederick County,0.15,34-1003 Laura Dr,34-1028 Ravenwood Rd,450,R,,,,,,,X,,,,,,05/25/2011,,,,,,,,,,,,,,,
739680,  34,01008,     ,34-1008,Filbert St,304,Town of Stephens City,034,Frederick County,0.03,34-1028 Ravenwood Rd,Dead End,5,R,,,,,,,X,,,,,,05/25/2011,,,,,,,,,,,,,,,
739681,  34,01009,     ,34-1009,Bell Air St,304,Town of Stephens City,034,Frederick County,0.05,34-1003 Laura Dr,34-1017 Barley Dr,290,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739682,  34,01009,     ,34-1009,Bell Air St,304,Town of Stephens City,034,Frederick County,0.09,34-1017 Barley Dr,34-1023 Highview Ave,120,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739683,  34,01010,     ,34-1010,Plymouth St,304,Town of Stephens City,034,Frederick County,0.15,Dead End,US 11 Main St,740,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739684,  34,01011,     ,34-1011,Grove St,304,Town of Stephens City,034,Frederick County,0.10,34-631 Fairfax St,34-1001 Martin St,160,R,,,,,,,X,,,,,,06/13/2005,,,,,,,,,,,,,,,
739685,  34,01011,     ,34-1011,Grove St,304,Town of Stephens City,034,Frederick County,0.10,34-1001 Martin St,34-1007 Locust St,170,R,,,,,,,X,,,,,,06/13/2005,,,,,,,,,,,,,,,
739686,  34,01011,     ,34-1011,Grove St,304,Town of Stephens City,034,Frederick County,0.14,34-1007 Locust St,Dead End,140,R,,,,,,,X,,,,,,06/13/2005,,,,,,,,,,,,,,,
739688,  34,01013,     ,34-1013,Crooked Lane,304,Town of Stephens City,034,Frederick County,0.15,34-631 Fairfax St,Dead End,180,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739691,  34,01016,     ,34-1016,Farmview Dr,304,Town of Stephens City,034,Frederick County,0.06,US 11 Main St,34-1003 Laura Dr,230,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739692,  34,01016,     ,34-1016,Farmview Dr,304,Town of Stephens City,034,Frederick County,0.06,34-1003 Laura Dr,34-1017 Barley Dr,180,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739693,  34,01016,     ,34-1016,Farmview Dr,304,Town of Stephens City,034,Frederick County,0.08,34-1017 Barley Dr,34-1023 Highview Ave,90,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739694,  34,01017,     ,34-1017,Barley Dr,304,Town of Stephens City,034,Frederick County,0.14,34-1009 Bell Air St,34-1016 Farmview Dr,160,R,,,,,,,X,,,,,,06/03/2008,,,,,,,,,,,,,,,
739695,  34,01017,     ,34-1017,Barley Dr,304,Town of Stephens City,034,Frederick County,0.28,34-1016 Farmview Dr,NCL Stephens City,290,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739697,  34,01019,     ,34-1019,Stephens Court,304,Town of Stephens City,034,Frederick County,0.07,Dead End,34-1014 Massie Lane,90,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739698,  34,01019,     ,34-1019,Stephens Court,304,Town of Stephens City,034,Frederick County,0.07,34-1014 Massie Lane,US 11 Main St,250,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739706,  34,01023,     ,34-1023,Highview Ave,304,Town of Stephens City,034,Frederick County,0.16,34-1009 Bell Air St,34-1016 Farmview Dr,80,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739707,  34,01024,     ,34-1024,Chestnut Circle,304,Town of Stephens City,034,Frederick County,0.04,34-1007 Locust St,Cul-de-Sac,60,R,,,,,,,X,,,,,,05/25/2011,,,,,,,,,,,,,,,
739713,  34,01028,     ,34-1028,Ravenwood Rd,304,Town of Stephens City,034,Frederick County,0.10,34-1008 Filbert St,Cul-de-Sac,220,R,,,,,,,X,,,,,,05/25/2011,,,,,,,,,,,,,,,
739942,  34,01149,     ,34-1149,Rowe Lane,304,Town of Stephens City,034,Frederick County,0.09,34-1013 Crooked Lane,34-1011 Grove St,70,R,,,,,,,X,,,,,,06/13/2005,,,,,,,,,,,,,,,
795314,  34,01449,     ,34-1449, ,304,Town of Stephens City,034,Frederick County,0.08,34-1010 Plymouth St,34-1019 Stephens Court,60,R,,,,,,,X,,,,,,05/25/2011,,,,,,,,,,,,,,,
- - - - - - - - - - - - - - - - - - - - - - - - - - - - End of Report - - - - - - - - - - - - - - - - - - - - - - - - - - - - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
