ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,Prepared,8/22/2012
1,Southwestern Region,044,Henry County,12,Urban Principal Arterial - Other Freeways or Expressways,02,Passenger Cars,              ,,,,,,,164,825,0.24%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,825,0.07%,,
1,Southwestern Region,044,Henry County,12,Urban Principal Arterial - Other Freeways or Expressways,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,,,,,,,34,327,0.05%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,327,0.02%,,
1,Southwestern Region,044,Henry County,12,Urban Principal Arterial - Other Freeways or Expressways,04,Busses,              ,,,,,,,1,988,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,988,0.00%,,
1,Southwestern Region,044,Henry County,12,Urban Principal Arterial - Other Freeways or Expressways,05,"Two Axle, 6 Tire Single Unit Trucks",              ,,,,,,,1,481,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,481,0.00%,,
1,Southwestern Region,044,Henry County,12,Urban Principal Arterial - Other Freeways or Expressways,06,Three Axle Single Unit Trucks,              ,,,,,,,1,740,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,740,0.00%,,
1,Southwestern Region,044,Henry County,12,Urban Principal Arterial - Other Freeways or Expressways,07,Four or More Axle Single Unit Trucks,              ,,,,,,,135,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,0.00%,,
1,Southwestern Region,044,Henry County,12,Urban Principal Arterial - Other Freeways or Expressways,08,Four Axle or Fewer Single Trailers,              ,,,,,,,2,080,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,080,0.00%,,
1,Southwestern Region,044,Henry County,12,Urban Principal Arterial - Other Freeways or Expressways,09,Five Axle Single Trailers,              ,,,,,,,22,105,0.03%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,105,0.01%,,
1,Southwestern Region,044,Henry County,12,Urban Principal Arterial - Other Freeways or Expressways,10,Six or More Axle Single Trailers,              ,,,,,,,214,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,0.00%,,
1,Southwestern Region,044,Henry County,12,Urban Principal Arterial - Other Freeways or Expressways,11,Five Axle or Fewer Multi-Trailers,              ,,,,,,,1,006,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,006,0.00%,,
1,Southwestern Region,044,Henry County,12,Urban Principal Arterial - Other Freeways or Expressways,12,Six Axle Multi-Trailers,              ,,,,,,,446,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,0.00%,,
1,Southwestern Region,044,Henry County,12,Urban Principal Arterial - Other Freeways or Expressways,13,Seven or More Axle Multi-Trailers,              ,,,,,,,1,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.00%,,
1,Southwestern Region,044,Henry County,14,Urban Principal Arterial - Other,01,Motorcycles,              ,5,0.00%,0.00%,,,,868,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,0.00%,,
1,Southwestern Region,044,Henry County,14,Urban Principal Arterial - Other,02,Passenger Cars,              ,4,297,0.01%,0.00%,,,,252,381,0.38%,0.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,678,0.12%,,
1,Southwestern Region,044,Henry County,14,Urban Principal Arterial - Other,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,692,0.00%,0.00%,,,,47,435,0.07%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,127,0.02%,,
1,Southwestern Region,044,Henry County,14,Urban Principal Arterial - Other,04,Busses,              ,20,0.00%,0.00%,,,,1,839,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,859,0.00%,,
1,Southwestern Region,044,Henry County,14,Urban Principal Arterial - Other,05,"Two Axle, 6 Tire Single Unit Trucks",              ,21,0.00%,0.00%,,,,1,627,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,648,0.00%,,
1,Southwestern Region,044,Henry County,14,Urban Principal Arterial - Other,06,Three Axle Single Unit Trucks,              ,18,0.00%,0.00%,,,,1,841,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,859,0.00%,,
1,Southwestern Region,044,Henry County,14,Urban Principal Arterial - Other,07,Four or More Axle Single Unit Trucks,              ,1,0.00%,0.00%,,,,139,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,0.00%,,
1,Southwestern Region,044,Henry County,14,Urban Principal Arterial - Other,08,Four Axle or Fewer Single Trailers,              ,9,0.00%,0.00%,,,,1,731,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,740,0.00%,,
1,Southwestern Region,044,Henry County,14,Urban Principal Arterial - Other,09,Five Axle Single Trailers,              ,20,0.00%,0.00%,,,,13,855,0.02%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,876,0.01%,,
1,Southwestern Region,044,Henry County,14,Urban Principal Arterial - Other,10,Six or More Axle Single Trailers,              ,0,0.00%,0.00%,,,,129,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,0.00%,,
1,Southwestern Region,044,Henry County,14,Urban Principal Arterial - Other,11,Five Axle or Fewer Multi-Trailers,              ,0,0.00%,0.00%,,,,616,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616,0.00%,,
1,Southwestern Region,044,Henry County,14,Urban Principal Arterial - Other,12,Six Axle Multi-Trailers,              ,0,0.00%,0.00%,,,,212,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,0.00%,,
1,Southwestern Region,044,Henry County,14,Urban Principal Arterial - Other,13,Seven or More Axle Multi-Trailers,              ,0,0.00%,0.00%,,,,3,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.00%,,
1,Southwestern Region,044,Henry County,16,Urban Minor Arterial,01,Motorcycles,              ,196,0.00%,0.00%,,,,258,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,0.00%,,
1,Southwestern Region,044,Henry County,16,Urban Minor Arterial,02,Passenger Cars,              ,42,879,0.11%,0.02%,,,,123,639,0.18%,0.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,518,0.08%,,
1,Southwestern Region,044,Henry County,16,Urban Minor Arterial,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,7,478,0.02%,0.00%,,,,22,725,0.03%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,203,0.01%,,
1,Southwestern Region,044,Henry County,16,Urban Minor Arterial,04,Busses,              ,601,0.00%,0.00%,,,,671,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,272,0.00%,,
1,Southwestern Region,044,Henry County,16,Urban Minor Arterial,05,"Two Axle, 6 Tire Single Unit Trucks",              ,341,0.00%,0.00%,,,,629,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970,0.00%,,
1,Southwestern Region,044,Henry County,16,Urban Minor Arterial,06,Three Axle Single Unit Trucks,              ,203,0.00%,0.00%,,,,567,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,0.00%,,
1,Southwestern Region,044,Henry County,16,Urban Minor Arterial,07,Four or More Axle Single Unit Trucks,              ,46,0.00%,0.00%,,,,13,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,0.00%,,
1,Southwestern Region,044,Henry County,16,Urban Minor Arterial,08,Four Axle or Fewer Single Trailers,              ,100,0.00%,0.00%,,,,533,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633,0.00%,,
1,Southwestern Region,044,Henry County,16,Urban Minor Arterial,09,Five Axle Single Trailers,              ,163,0.00%,0.00%,,,,2,135,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,298,0.00%,,
1,Southwestern Region,044,Henry County,16,Urban Minor Arterial,10,Six or More Axle Single Trailers,              ,1,0.00%,0.00%,,,,17,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.00%,,
1,Southwestern Region,044,Henry County,16,Urban Minor Arterial,11,Five Axle or Fewer Multi-Trailers,              ,1,0.00%,0.00%,,,,54,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,0.00%,,
1,Southwestern Region,044,Henry County,16,Urban Minor Arterial,12,Six Axle Multi-Trailers,              ,0,0.00%,0.00%,,,,19,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0.00%,,
1,Southwestern Region,044,Henry County,17,Urban Collector,01,Motorcycles,              ,301,0.00%,0.00%,,,,48,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,0.00%,,
1,Southwestern Region,044,Henry County,17,Urban Collector,02,Passenger Cars,              ,48,481,0.12%,0.02%,,,,29,527,0.04%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,008,0.04%,,
1,Southwestern Region,044,Henry County,17,Urban Collector,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,8,321,0.02%,0.00%,,,,4,265,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,586,0.01%,,
1,Southwestern Region,044,Henry County,17,Urban Collector,04,Busses,              ,384,0.00%,0.00%,,,,94,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,0.00%,,
1,Southwestern Region,044,Henry County,17,Urban Collector,05,"Two Axle, 6 Tire Single Unit Trucks",              ,344,0.00%,0.00%,,,,114,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,0.00%,,
1,Southwestern Region,044,Henry County,17,Urban Collector,06,Three Axle Single Unit Trucks,              ,709,0.00%,0.00%,,,,88,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797,0.00%,,
1,Southwestern Region,044,Henry County,17,Urban Collector,07,Four or More Axle Single Unit Trucks,              ,343,0.00%,0.00%,,,,27,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,0.00%,,
1,Southwestern Region,044,Henry County,17,Urban Collector,08,Four Axle or Fewer Single Trailers,              ,83,0.00%,0.00%,,,,28,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,0.00%,,
1,Southwestern Region,044,Henry County,17,Urban Collector,09,Five Axle Single Trailers,              ,140,0.00%,0.00%,,,,52,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,0.00%,,
1,Southwestern Region,044,Henry County,17,Urban Collector,10,Six or More Axle Single Trailers,              ,31,0.00%,0.00%,,,,1,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0.00%,,
1,Southwestern Region,044,Henry County,17,Urban Collector,11,Five Axle or Fewer Multi-Trailers,              ,1,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.00%,,
1,Southwestern Region,044,Henry County,19,Urban Local System,01,Motorcycles,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,044,Henry County,19,Urban Local System,02,Passenger Cars,              ,59,252,0.15%,0.03%,,,,119,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,370,0.03%,,
1,Southwestern Region,044,Henry County,19,Urban Local System,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,044,Henry County,19,Urban Local System,04,Busses,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,044,Henry County,19,Urban Local System,05,"Two Axle, 6 Tire Single Unit Trucks",              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,044,Henry County,19,Urban Local System,06,Three Axle Single Unit Trucks,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,044,Henry County,19,Urban Local System,07,Four or More Axle Single Unit Trucks,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,044,Henry County,19,Urban Local System,08,Four Axle or Fewer Single Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,044,Henry County,19,Urban Local System,09,Five Axle Single Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,044,Henry County,19,Urban Local System,10,Six or More Axle Single Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,044,Henry County,19,Urban Local System,11,Five Axle or Fewer Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,044,Henry County,19,Urban Local System,12,Six Axle Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,044,Henry County,19,Urban Local System,13,Seven or More Axle Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,044,Henry County Total:,,,,,,451,093,1.12%,0.20%,,,,1,038,285,1.54%,0.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,489,378,0.67%,,
1,Southwestern Region,052,Lee County,2,Rural Principal Arterial - Other,01,Motorcycles,              ,,,,,,,145,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,0.00%,,
1,Southwestern Region,052,Lee County,2,Rural Principal Arterial - Other,02,Passenger Cars,              ,,,,,,,28,147,0.04%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,147,0.01%,,
1,Southwestern Region,052,Lee County,2,Rural Principal Arterial - Other,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,,,,,,,8,367,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,367,0.00%,,
1,Southwestern Region,052,Lee County,2,Rural Principal Arterial - Other,04,Busses,              ,,,,,,,164,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,0.00%,,
1,Southwestern Region,052,Lee County,2,Rural Principal Arterial - Other,05,"Two Axle, 6 Tire Single Unit Trucks",              ,,,,,,,267,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,0.00%,,
1,Southwestern Region,052,Lee County,2,Rural Principal Arterial - Other,06,Three Axle Single Unit Trucks,              ,,,,,,,162,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,0.00%,,
1,Southwestern Region,052,Lee County,2,Rural Principal Arterial - Other,07,Four or More Axle Single Unit Trucks,              ,,,,,,,23,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.00%,,
1,Southwestern Region,052,Lee County,2,Rural Principal Arterial - Other,08,Four Axle or Fewer Single Trailers,              ,,,,,,,138,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,0.00%,,
1,Southwestern Region,052,Lee County,2,Rural Principal Arterial - Other,09,Five Axle Single Trailers,              ,,,,,,,1,812,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,812,0.00%,,
1,Southwestern Region,052,Lee County,2,Rural Principal Arterial - Other,10,Six or More Axle Single Trailers,              ,,,,,,,49,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,0.00%,,
1,Southwestern Region,052,Lee County,2,Rural Principal Arterial - Other,11,Five Axle or Fewer Multi-Trailers,              ,,,,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,052,Lee County,2,Rural Principal Arterial - Other,12,Six Axle Multi-Trailers,              ,,,,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,052,Lee County,2,Rural Principal Arterial - Other,13,Seven or More Axle Multi-Trailers,              ,,,,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,052,Lee County,6,Rural Minor Arterial,01,Motorcycles,              ,,,,,,,827,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827,0.00%,,
1,Southwestern Region,052,Lee County,6,Rural Minor Arterial,02,Passenger Cars,              ,,,,,,,277,373,0.41%,0.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,373,0.13%,,
1,Southwestern Region,052,Lee County,6,Rural Minor Arterial,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,,,,,,,87,429,0.13%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,429,0.04%,,
1,Southwestern Region,052,Lee County,6,Rural Minor Arterial,04,Busses,              ,,,,,,,1,882,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,882,0.00%,,
1,Southwestern Region,052,Lee County,6,Rural Minor Arterial,05,"Two Axle, 6 Tire Single Unit Trucks",              ,,,,,,,3,471,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,471,0.00%,,
1,Southwestern Region,052,Lee County,6,Rural Minor Arterial,06,Three Axle Single Unit Trucks,              ,,,,,,,3,081,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,081,0.00%,,
1,Southwestern Region,052,Lee County,6,Rural Minor Arterial,07,Four or More Axle Single Unit Trucks,              ,,,,,,,1,078,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,078,0.00%,,
1,Southwestern Region,052,Lee County,6,Rural Minor Arterial,08,Four Axle or Fewer Single Trailers,              ,,,,,,,1,924,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,924,0.00%,,
1,Southwestern Region,052,Lee County,6,Rural Minor Arterial,09,Five Axle Single Trailers,              ,,,,,,,9,833,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,833,0.00%,,
1,Southwestern Region,052,Lee County,6,Rural Minor Arterial,10,Six or More Axle Single Trailers,              ,,,,,,,1,094,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,094,0.00%,,
1,Southwestern Region,052,Lee County,6,Rural Minor Arterial,11,Five Axle or Fewer Multi-Trailers,              ,,,,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,052,Lee County,7,Rural Major Collector,01,Motorcycles,              ,274,0.00%,0.00%,,,,210,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484,0.00%,,
1,Southwestern Region,052,Lee County,7,Rural Major Collector,02,Passenger Cars,              ,33,182,0.08%,0.01%,,,,13,808,0.02%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,991,0.02%,,
1,Southwestern Region,052,Lee County,7,Rural Major Collector,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,11,490,0.03%,0.01%,,,,4,685,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,175,0.01%,,
1,Southwestern Region,052,Lee County,7,Rural Major Collector,04,Busses,              ,184,0.00%,0.00%,,,,139,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,0.00%,,
1,Southwestern Region,052,Lee County,7,Rural Major Collector,05,"Two Axle, 6 Tire Single Unit Trucks",              ,378,0.00%,0.00%,,,,182,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,0.00%,,
1,Southwestern Region,052,Lee County,7,Rural Major Collector,06,Three Axle Single Unit Trucks,              ,341,0.00%,0.00%,,,,183,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,0.00%,,
1,Southwestern Region,052,Lee County,7,Rural Major Collector,07,Four or More Axle Single Unit Trucks,              ,48,0.00%,0.00%,,,,38,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,0.00%,,
1,Southwestern Region,052,Lee County,7,Rural Major Collector,08,Four Axle or Fewer Single Trailers,              ,109,0.00%,0.00%,,,,156,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,0.00%,,
1,Southwestern Region,052,Lee County,7,Rural Major Collector,09,Five Axle Single Trailers,              ,84,0.00%,0.00%,,,,517,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,0.00%,,
1,Southwestern Region,052,Lee County,7,Rural Major Collector,10,Six or More Axle Single Trailers,              ,32,0.00%,0.00%,,,,82,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,0.00%,,
1,Southwestern Region,052,Lee County,7,Rural Major Collector,11,Five Axle or Fewer Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,052,Lee County,7,Rural Major Collector,12,Six Axle Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,052,Lee County,7,Rural Major Collector,13,Seven or More Axle Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,052,Lee County,8,Rural Minor Collector,01,Motorcycles,              ,68,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,0.00%,,
1,Southwestern Region,052,Lee County,8,Rural Minor Collector,02,Passenger Cars,              ,5,772,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,772,0.00%,,
1,Southwestern Region,052,Lee County,8,Rural Minor Collector,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,1,869,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,869,0.00%,,
1,Southwestern Region,052,Lee County,8,Rural Minor Collector,04,Busses,              ,27,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0.00%,,
1,Southwestern Region,052,Lee County,8,Rural Minor Collector,05,"Two Axle, 6 Tire Single Unit Trucks",              ,103,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,0.00%,,
1,Southwestern Region,052,Lee County,8,Rural Minor Collector,06,Three Axle Single Unit Trucks,              ,37,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0.00%,,
1,Southwestern Region,052,Lee County,8,Rural Minor Collector,07,Four or More Axle Single Unit Trucks,              ,1,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.00%,,
1,Southwestern Region,052,Lee County,8,Rural Minor Collector,08,Four Axle or Fewer Single Trailers,              ,8,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.00%,,
1,Southwestern Region,052,Lee County,8,Rural Minor Collector,09,Five Axle Single Trailers,              ,8,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.00%,,
1,Southwestern Region,052,Lee County,8,Rural Minor Collector,10,Six or More Axle Single Trailers,              ,3,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.00%,,
1,Southwestern Region,052,Lee County,9,Rural Local System,01,Motorcycles,              ,34,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0.00%,,
1,Southwestern Region,052,Lee County,9,Rural Local System,02,Passenger Cars,              ,83,167,0.21%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,167,0.04%,,
