ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	Prepared	7/14/2009
1	Southwestern Region	009	Bedford County Total:						611,329	1.46%	0.27%	993.97	2.05%	1.34%	1,107,375	1.61%	0.49%	152.84	1.84%	0.21%																																					1,718,704	0.76%	1,146.81	1.55%
1	Southwestern Region	010	Bland County	1	Rural Principal Arterial - Interstate			              													541,570	0.83%	0.24%	21.69	1.94%	0.03%																															541,570	0.24%	21.69	0.03%
1	Southwestern Region	010	Bland County	6	Rural Minor Arterial			              							32,656	0.05%	0.01%	14.24	0.17%	0.02%																																					32,656	0.01%	14.24	0.02%
1	Southwestern Region	010	Bland County	7	Rural Major Collector			              	15,649	0.04%	0.01%	15.70	0.03%	0.02%	42,075	0.06%	0.02%	63.45	0.76%	0.09%																																					57,724	0.03%	79.15	0.11%
1	Southwestern Region	010	Bland County	9	Rural Local System			              	54,551	0.13%	0.02%	193.51	0.40%	0.26%	596	0.00%	0.00%	2.11	0.03%	0.00%																																					55,147	0.02%	195.62	0.26%
1	Southwestern Region	010	Bland County Total:						70,201	0.17%	0.03%	209.21	0.43%	0.28%	75,326	0.11%	0.03%	79.80	0.96%	0.11%	541,570	0.83%	0.24%	21.69	1.94%	0.03%																															687,097	0.31%	310.70	0.42%
1	Southwestern Region	011	Botetourt County	1	Rural Principal Arterial - Interstate			              													773,423	1.19%	0.34%	22.27	1.99%	0.03%																															773,423	0.34%	22.27	0.03%
1	Southwestern Region	011	Botetourt County	2	Rural Principal Arterial - Other			              							249,037	0.36%	0.11%	30.51	0.37%	0.04%																																					249,037	0.11%	30.51	0.04%
1	Southwestern Region	011	Botetourt County	7	Rural Major Collector			              	44,089	0.11%	0.02%	45.39	0.09%	0.06%	85,381	0.12%	0.04%	36.46	0.44%	0.05%																																					129,470	0.06%	81.85	0.11%
1	Southwestern Region	011	Botetourt County	8	Rural Minor Collector			              	9,732	0.02%	0.00%	17.95	0.04%	0.02%																																											9,732	0.00%	17.95	0.02%
1	Southwestern Region	011	Botetourt County	9	Rural Local System			              	82,894	0.20%	0.04%	397.98	0.82%	0.54%	11,952	0.02%	0.01%	14.28	0.17%	0.02%																																					94,847	0.04%	412.26	0.56%
1	Southwestern Region	011	Botetourt County	11	Urban Principal Arterial - Interstate			              													201,348	0.31%	0.09%	4.59	0.41%	0.01%																															201,348	0.09%	4.59	0.01%
1	Southwestern Region	011	Botetourt County	14	Urban Principal Arterial - Other			              							289,258	0.42%	0.13%	14.60	0.18%	0.02%																																					289,258	0.13%	14.60	0.02%
1	Southwestern Region	011	Botetourt County	17	Urban Collector			              	63,421	0.15%	0.03%	21.57	0.04%	0.03%	24,547	0.04%	0.01%	3.19	0.04%	0.00%																																					87,968	0.04%	24.76	0.03%
1	Southwestern Region	011	Botetourt County	19	Urban Local System			              	27,551	0.07%	0.01%	73.45	0.15%	0.10%																																											27,551	0.01%	73.45	0.10%
1	Southwestern Region	011	Botetourt County Total:						227,687	0.54%	0.10%	556.34	1.15%	0.75%	660,175	0.96%	0.29%	99.04	1.19%	0.13%	974,771	1.50%	0.43%	26.86	2.40%	0.04%																															1,862,634	0.83%	682.24	0.92%
1	Southwestern Region	013	Buchanan County	2	Rural Principal Arterial - Other			              	3,901	0.01%	0.00%	0.62	0.00%	0.00%	269,096	0.39%	0.12%	34.78	0.42%	0.05%																																					272,998	0.12%	35.40	0.05%
1	Southwestern Region	013	Buchanan County	6	Rural Minor Arterial			              							57,670	0.08%	0.03%	20.30	0.24%	0.03%																																					57,670	0.03%	20.30	0.03%
1	Southwestern Region	013	Buchanan County	7	Rural Major Collector			              	158,319	0.38%	0.07%	118.70	0.24%	0.16%	54,758	0.08%	0.02%	17.40	0.21%	0.02%																																					213,077	0.09%	136.10	0.18%
1	Southwestern Region	013	Buchanan County	8	Rural Minor Collector			              	3,727	0.01%	0.00%	9.64	0.02%	0.01%																																											3,727	0.00%	9.64	0.01%
1	Southwestern Region	013	Buchanan County	9	Rural Local System			              	139,624	0.33%	0.06%	333.86	0.69%	0.45%	142	0.00%	0.00%	0.34	0.00%	0.00%																																					139,766	0.06%	334.20	0.45%
1	Southwestern Region	013	Buchanan County Total:						305,571	0.73%	0.14%	462.82	0.95%	0.63%	381,667	0.56%	0.17%	72.82	0.87%	0.10%																																					687,238	0.31%	535.64	0.72%
1	Southwestern Region	014	Buckingham County	6	Rural Minor Arterial			              							274,416	0.40%	0.12%	85.87	1.03%	0.12%																																					274,416	0.12%	85.87	0.12%
1	Southwestern Region	014	Buckingham County	7	Rural Major Collector			              	54,583	0.13%	0.02%	85.93	0.18%	0.12%	13,316	0.02%	0.01%	10.47	0.13%	0.01%																																					67,899	0.03%	96.40	0.13%
1	Southwestern Region	014	Buckingham County	8	Rural Minor Collector			              	10,720	0.03%	0.00%	31.63	0.07%	0.04%																																											10,720	0.00%	31.63	0.04%
1	Southwestern Region	014	Buckingham County	9	Rural Local System			              	82,627	0.20%	0.04%	455.18	0.94%	0.62%	14	0.00%	0.00%	0.06	0.00%	0.00%																																					82,641	0.04%	455.24	0.62%
1	Southwestern Region	014	Buckingham County Total:						147,931	0.35%	0.07%	572.74	1.18%	0.77%	287,746	0.42%	0.13%	96.40	1.16%	0.13%																																					435,676	0.19%	669.14	0.91%
1	Southwestern Region	015	Campbell County	2	Rural Principal Arterial - Other			              							419,274	0.61%	0.19%	23.79	0.29%	0.03%																																					419,274	0.19%	23.79	0.03%
1	Southwestern Region	015	Campbell County	6	Rural Minor Arterial			              							217,112	0.32%	0.10%	44.29	0.53%	0.06%																																					217,112	0.10%	44.29	0.06%
1	Southwestern Region	015	Campbell County	7	Rural Major Collector			              	192,681	0.46%	0.09%	133.27	0.27%	0.18%	63,289	0.09%	0.03%	21.68	0.26%	0.03%																																					255,971	0.11%	154.95	0.21%
1	Southwestern Region	015	Campbell County	8	Rural Minor Collector			              	9,813	0.02%	0.00%	22.60	0.05%	0.03%																																											9,813	0.00%	22.60	0.03%
1	Southwestern Region	015	Campbell County	9	Rural Local System			              	147,149	0.35%	0.07%	415.94	0.86%	0.56%	191	0.00%	0.00%	0.66	0.01%	0.00%																																					147,340	0.07%	416.60	0.56%
1	Southwestern Region	015	Campbell County	12	Urban Principal Arterial - Other Freeways or Expressways			              							298,299	0.43%	0.13%	10.59	0.13%	0.01%																																					298,299	0.13%	10.59	0.01%
1	Southwestern Region	015	Campbell County	14	Urban Principal Arterial - Other			              							305,228	0.45%	0.14%	13.50	0.16%	0.02%																																					305,228	0.14%	13.50	0.02%
1	Southwestern Region	015	Campbell County	16	Urban Minor Arterial			              	54,556	0.13%	0.02%	8.54	0.02%	0.01%																																											54,556	0.02%	8.54	0.01%
1	Southwestern Region	015	Campbell County	17	Urban Collector			              	64,303	0.15%	0.03%	23.14	0.05%	0.03%																																											64,303	0.03%	23.14	0.03%
1	Southwestern Region	015	Campbell County	19	Urban Local System			              	41,046	0.10%	0.02%	75.75	0.16%	0.10%	4,335	0.01%	0.00%	4.88	0.06%	0.01%																																					45,381	0.02%	80.63	0.11%
1	Southwestern Region	015	Campbell County Total:						509,548	1.22%	0.23%	679.24	1.40%	0.92%	1,307,729	1.91%	0.58%	119.39	1.43%	0.16%																																					1,817,277	0.81%	798.63	1.08%
1	Southwestern Region	017	Carroll County	1	Rural Principal Arterial - Interstate			              													821,744	1.26%	0.37%	24.29	2.17%	0.03%																															821,744	0.37%	24.29	0.03%
1	Southwestern Region	017	Carroll County	6	Rural Minor Arterial			              							264,970	0.39%	0.12%	46.00	0.55%	0.06%																																					264,970	0.12%	46.00	0.06%
1	Southwestern Region	017	Carroll County	7	Rural Major Collector			              	128,756	0.31%	0.06%	127.79	0.26%	0.17%	111,839	0.16%	0.05%	43.61	0.52%	0.06%																																					240,595	0.11%	171.40	0.23%
1	Southwestern Region	017	Carroll County	8	Rural Minor Collector			              	15,832	0.04%	0.01%	41.39	0.09%	0.06%																																											15,832	0.01%	41.39	0.06%
1	Southwestern Region	017	Carroll County	9	Rural Local System			              	111,405	0.27%	0.05%	666.20	1.37%	0.90%	176	0.00%	0.00%	1.05	0.01%	0.00%																																					111,581	0.05%	667.25	0.90%
1	Southwestern Region	017	Carroll County	14	Urban Principal Arterial - Other			              							32,255	0.05%	0.01%	2.05	0.02%	0.00%																																					32,255	0.01%	2.05	0.00%
1	Southwestern Region	017	Carroll County	16	Urban Minor Arterial			              	4,594	0.01%	0.00%	2.38	0.00%	0.00%																																											4,594	0.00%	2.38	0.00%
1	Southwestern Region	017	Carroll County	17	Urban Collector			              	248	0.00%	0.00%	0.17	0.00%	0.00%																																											248	0.00%	0.17	0.00%
1	Southwestern Region	017	Carroll County	19	Urban Local System			              	1,012	0.00%	0.00%	1.89	0.00%	0.00%																																											1,012	0.00%	1.89	0.00%
1	Southwestern Region	017	Carroll County Total:						261,846	0.63%	0.12%	839.82	1.73%	1.14%	409,241	0.60%	0.18%	92.71	1.11%	0.13%	821,744	1.26%	0.37%	24.29	2.17%	0.03%																															1,492,830	0.66%	956.82	1.29%
1	Southwestern Region	019	Charlotte County	2	Rural Principal Arterial - Other			              							121,657	0.18%	0.05%	24.00	0.29%	0.03%																																					121,657	0.05%	24.00	0.03%
1	Southwestern Region	019	Charlotte County	6	Rural Minor Arterial			              							79,102	0.12%	0.04%	39.84	0.48%	0.05%																																					79,102	0.04%	39.84	0.05%
1	Southwestern Region	019	Charlotte County	7	Rural Major Collector			              	40,482	0.10%	0.02%	71.75	0.15%	0.10%	91,034	0.13%	0.04%	48.56	0.58%	0.07%																																					131,516	0.06%	120.31	0.16%
1	Southwestern Region	019	Charlotte County	8	Rural Minor Collector			              	3,377	0.01%	0.00%	13.21	0.03%	0.02%	302	0.00%	0.00%	0.70	0.01%	0.00%																																					3,679	0.00%	13.91	0.02%
1	Southwestern Region	019	Charlotte County	9	Rural Local System			              	71,214	0.17%	0.03%	392.48	0.81%	0.53%	79	0.00%	0.00%	1.30	0.02%	0.00%																																					71,294	0.03%	393.78	0.53%
1	Southwestern Region	019	Charlotte County Total:						115,073	0.28%	0.05%	477.44	0.98%	0.65%	292,174	0.43%	0.13%	114.40	1.37%	0.15%																																					407,247	0.18%	591.84	0.80%
1	Southwestern Region	022	Craig County	7	Rural Major Collector			              	12,784	0.03%	0.01%	11.32	0.02%	0.02%	68,097	0.10%	0.03%	59.66	0.72%	0.08%																																					80,881	0.04%	70.98	0.10%
1	Southwestern Region	022	Craig County	9	Rural Local System			              	24,989	0.06%	0.01%	169.49	0.35%	0.23%																																											24,989	0.01%	169.49	0.23%
1	Southwestern Region	022	Craig County Total:						37,773	0.09%	0.02%	180.81	0.37%	0.24%	68,097	0.10%	0.03%	59.66	0.72%	0.08%																																					105,870	0.05%	240.47	0.33%
1	Southwestern Region	024	Cumberland County	6	Rural Minor Arterial			              							118,369	0.17%	0.05%	28.98	0.35%	0.04%																																					118,369	0.05%	28.98	0.04%
1	Southwestern Region	024	Cumberland County	7	Rural Major Collector			              	27,428	0.07%	0.01%	40.21	0.08%	0.05%	25,678	0.04%	0.01%	21.59	0.26%	0.03%																																					53,106	0.02%	61.80	0.08%
1	Southwestern Region	024	Cumberland County	8	Rural Minor Collector			              	5,584	0.01%	0.00%	10.78	0.02%	0.01%																																											5,584	0.00%	10.78	0.01%
1	Southwestern Region	024	Cumberland County	9	Rural Local System			              	45,646	0.11%	0.02%	244.70	0.50%	0.33%																																											45,646	0.02%	244.70	0.33%
1	Southwestern Region	024	Cumberland County Total:						78,658	0.19%	0.03%	295.69	0.61%	0.40%	144,047	0.21%	0.06%	50.57	0.61%	0.07%																																					222,705	0.10%	346.26	0.47%
1	Southwestern Region	025	Dickenson County	6	Rural Minor Arterial			              							148,097	0.22%	0.07%	38.94	0.47%	0.05%																																					148,097	0.07%	38.94	0.05%
1	Southwestern Region	025	Dickenson County	7	Rural Major Collector			              	56,012	0.13%	0.02%	81.85	0.17%	0.11%	63,592	0.09%	0.03%	39.96	0.48%	0.05%																																					119,604	0.05%	121.81	0.16%
1	Southwestern Region	025	Dickenson County	8	Rural Minor Collector			              	2,657	0.01%	0.00%	13.15	0.03%	0.02%																																											2,657	0.00%	13.15	0.02%
1	Southwestern Region	025	Dickenson County	9	Rural Local System			              	78,966	0.19%	0.04%	310.84	0.64%	0.42%	700	0.00%	0.00%	2.75	0.03%	0.00%																																					79,666	0.04%	313.59	0.42%
1	Southwestern Region	025	Dickenson County Total:						137,635	0.33%	0.06%	405.84	0.84%	0.55%	212,388	0.31%	0.09%	81.65	0.98%	0.11%																																					350,023	0.16%	487.49	0.66%
1	Southwestern Region	031	Floyd County	6	Rural Minor Arterial			              							184,636	0.27%	0.08%	54.80	0.66%	0.07%																																					184,636	0.08%	54.80	0.07%
1	Southwestern Region	031	Floyd County	7	Rural Major Collector			              	65,423	0.16%	0.03%	105.38	0.22%	0.14%																																											65,423	0.03%	105.38	0.14%
1	Southwestern Region	031	Floyd County	8	Rural Minor Collector			              	12,396	0.03%	0.01%	37.02	0.08%	0.05%																																											12,396	0.01%	37.02	0.05%
1	Southwestern Region	031	Floyd County	9	Rural Local System			              	60,885	0.15%	0.03%	481.34	0.99%	0.65%																																											60,885	0.03%	481.34	0.65%
1	Southwestern Region	031	Floyd County Total:						138,703	0.33%	0.06%	623.74	1.29%	0.84%	184,636	0.27%	0.08%	54.80	0.66%	0.07%																																					323,339	0.14%	678.54	0.92%
1	Southwestern Region	033	Franklin County	2	Rural Principal Arterial - Other			              							498,746	0.73%	0.22%	27.65	0.33%	0.04%																																					498,746	0.22%	27.65	0.04%
1	Southwestern Region	033	Franklin County	6	Rural Minor Arterial			              							247,336	0.36%	0.11%	41.44	0.50%	0.06%																																					247,336	0.11%	41.44	0.06%
1	Southwestern Region	033	Franklin County	7	Rural Major Collector			              	276,445	0.66%	0.12%	183.72	0.38%	0.25%	67,774	0.10%	0.03%	24.23	0.29%	0.03%																																					344,219	0.15%	207.95	0.28%
1	Southwestern Region	033	Franklin County	8	Rural Minor Collector			              	85,764	0.21%	0.04%	58.87	0.12%	0.08%																																											85,764	0.04%	58.87	0.08%
1	Southwestern Region	033	Franklin County	9	Rural Local System			              	220,615	0.53%	0.10%	828.58	1.71%	1.12%	562	0.00%	0.00%	1.93	0.02%	0.00%																																					221,177	0.10%	830.51	1.12%
1	Southwestern Region	033	Franklin County Total:						582,824	1.39%	0.26%	1,071.17	2.21%	1.45%	814,417	1.19%	0.36%	95.25	1.14%	0.13%																																					1,397,241	0.62%	1,166.42	1.58%
1	Southwestern Region	035	Giles County	2	Rural Principal Arterial - Other			              							317,411	0.46%	0.14%	29.61	0.36%	0.04%																																					317,411	0.14%	29.61	0.04%
1	Southwestern Region	035	Giles County	6	Rural Minor Arterial			              							62,636	0.09%	0.03%	12.72	0.15%	0.02%																																					62,636	0.03%	12.72	0.02%
1	Southwestern Region	035	Giles County	7	Rural Major Collector			              	19,381	0.05%	0.01%	47.82	0.10%	0.06%	58,208	0.08%	0.03%	32.98	0.40%	0.04%																																					77,589	0.03%	80.80	0.11%
1	Southwestern Region	035	Giles County	8	Rural Minor Collector			              	3,480	0.01%	0.00%	13.02	0.03%	0.02%																																											3,480	0.00%	13.02	0.02%
1	Southwestern Region	035	Giles County	9	Rural Local System			              	42,716	0.10%	0.02%	272.17	0.56%	0.37%	32	0.00%	0.00%	0.39	0.00%	0.00%																																					42,748	0.02%	272.56	0.37%
1	Southwestern Region	035	Giles County Total:						65,578	0.16%	0.03%	333.01	0.69%	0.45%	438,287	0.64%	0.19%	75.70	0.91%	0.10%																																					503,864	0.22%	408.71	0.55%
1	Southwestern Region	038	Grayson County	6	Rural Minor Arterial			              							194,509	0.28%	0.09%	85.78	1.03%	0.12%																																					194,509	0.09%	85.78	0.12%
1	Southwestern Region	038	Grayson County	7	Rural Major Collector			              	49,912	0.12%	0.02%	116.05	0.24%	0.16%	16,145	0.02%	0.01%	14.31	0.17%	0.02%																																					66,057	0.03%	130.36	0.18%
1	Southwestern Region	038	Grayson County	8	Rural Minor Collector			              	5,807	0.01%	0.00%	34.57	0.07%	0.05%																																											5,807	0.00%	34.57	0.05%
1	Southwestern Region	038	Grayson County	9	Rural Local System			              	60,126	0.14%	0.03%	509.09	1.05%	0.69%	1,090	0.00%	0.00%	9.23	0.11%	0.01%																																					61,217	0.03%	518.32	0.70%
1	Southwestern Region	038	Grayson County	14	Urban Principal Arterial - Other			              							5,125	0.01%	0.00%	0.63	0.01%	0.00%																																					5,125	0.00%	0.63	0.00%
1	Southwestern Region	038	Grayson County	19	Urban Local System			              	28	0.00%	0.00%	0.12	0.00%	0.00%																																											28	0.00%	0.12	0.00%
1	Southwestern Region	038	Grayson County Total:						115,873	0.28%	0.05%	659.83	1.36%	0.89%	216,870	0.32%	0.10%	109.95	1.32%	0.15%																																					332,743	0.15%	769.78	1.04%
1	Southwestern Region	041	Halifax County	2	Rural Principal Arterial - Other			              							316,097	0.46%	0.14%	44.29	0.53%	0.06%																																					316,097	0.14%	44.29	0.06%
1	Southwestern Region	041	Halifax County	6	Rural Minor Arterial			              							179,288	0.26%	0.08%	61.31	0.74%	0.08%																																					179,288	0.08%	61.31	0.08%
1	Southwestern Region	041	Halifax County	7	Rural Major Collector			              	160,906	0.38%	0.07%	196.58	0.41%	0.27%	40,373	0.06%	0.02%	37.51	0.45%	0.05%																																					201,278	0.09%	234.09	0.32%
1	Southwestern Region	041	Halifax County	8	Rural Minor Collector			              	10,638	0.03%	0.00%	42.28	0.09%	0.06%	2,149	0.00%	0.00%	4.66	0.06%	0.01%																																					12,787	0.01%	46.94	0.06%
1	Southwestern Region	041	Halifax County	9	Rural Local System			              	97,967	0.23%	0.04%	580.39	1.20%	0.79%	225	0.00%	0.00%	2.37	0.03%	0.00%																																					98,192	0.04%	582.76	0.79%
1	Southwestern Region	041	Halifax County	14	Urban Principal Arterial - Other			              							14,551	0.02%	0.01%	1.38	0.02%	0.00%																																					14,551	0.01%	1.38	0.00%
1	Southwestern Region	041	Halifax County	16	Urban Minor Arterial			              	3,769	0.01%	0.00%	2.06	0.00%	0.00%	49,103	0.07%	0.02%	6.62	0.08%	0.01%																																					52,872	0.02%	8.68	0.01%
1	Southwestern Region	041	Halifax County	17	Urban Collector			              	3,163	0.01%	0.00%	2.09	0.00%	0.00%	82	0.00%	0.00%	0.12	0.00%	0.00%																																					3,245	0.00%	2.21	0.00%
1	Southwestern Region	041	Halifax County	19	Urban Local System			              	5,812	0.01%	0.00%	16.60	0.03%	0.02%	7	0.00%	0.00%	0.06	0.00%	0.00%																																					5,819	0.00%	16.66	0.02%
1	Southwestern Region	041	Halifax County Total:						282,255	0.67%	0.13%	840.00	1.73%	1.14%	601,873	0.88%	0.27%	158.32	1.90%	0.21%																																					884,128	0.39%	998.32	1.35%
1	Southwestern Region	044	Henry County	2	Rural Principal Arterial - Other			              							166,204	0.24%	0.07%	12.61	0.15%	0.02%																																					166,204	0.07%	12.61	0.02%
1	Southwestern Region	044	Henry County	6	Rural Minor Arterial			              							162,159	0.24%	0.07%	27.92	0.34%	0.04%																																					162,159	0.07%	27.92	0.04%
1	Southwestern Region	044	Henry County	7	Rural Major Collector			              	174,682	0.42%	0.08%	113.59	0.23%	0.15%	0	0.00%	0.00%	5.77	0.07%	0.01%																																					174,682	0.08%	119.36	0.16%
1	Southwestern Region	044	Henry County	8	Rural Minor Collector			              	16,269	0.04%	0.01%	26.24	0.05%	0.04%																																											16,269	0.01%	26.24	0.04%
1	Southwestern Region	044	Henry County	9	Rural Local System			              	117,828	0.28%	0.05%	358.33	0.74%	0.48%	507	0.00%	0.00%	3.12	0.04%	0.00%																																					118,335	0.05%	361.45	0.49%
1	Southwestern Region	044	Henry County	12	Urban Principal Arterial - Other Freeways or Expressways			              							246,556	0.36%	0.11%	18.23	0.22%	0.02%																																					246,556	0.11%	18.23	0.02%
